ふるゆきの,みのしろころも,うちきつつ,はるきにけりと,おとろかれぬる
あきちかみ,なつはてゆけは,ほとときす,なくこゑかたき,ここちこそすれ
つつめとも,かくれぬものは,なつむしの,みよりあまれる,おもひなりけり
あまのかは,みつまさるらし,なつのよは,なかるるつきの,よとむまもなし
はなもちり,ほとときすさへ,いぬるまて,きみにもゆかす,なりにけるかな
はなとりの,いろをもねをも,いたつらに,ものうかるみは,すくすのみなり
なつむしの,みをたきすてて,たましあらは,われとまねはむ,ひとめもるみそ
こよひかく,なかむるそての,つゆけきは,つきのしもをや,あきとみつらむ
かもかはの,みなそこすみて,てるつきを,ゆきてみむとや,なつはらへする
たなはたは,あまのかはらを,ななかへり,のちのみそかを,みそきにはせよ
にはかにも,かせのすすしく,なりぬるか,あきたつひとは,うへもいひけり
うちつけに,ものそかなしき,このはちる,あきのはしめを,けふそとおもへは
たのめこし,きみはつれなし,あきかせは,けふよりふきぬ,わかみかなしも
いととしく,ものおもふやとの,をきのはに,あきとつけつる,かせのわひしき
あきかせの,うちふきそむる,ゆふくれは,そらにこころそ,わひしかりける
つゆわけし,たもとほすまも,なきものを,なとあきかせの,またきふくらむ
あきはきを,いろとるかせの,ふきぬれは,ひとのこころも,うたかはれけり
あきはきを,いろとるかせは,ふきぬとも,こころはかれし,くさはならねは
あふことは,たなはたつめに,ひとしくて,たちぬふわさは,あへすそありける
あまのかは,わたらむそらも,おもほえす,たえぬわかれと,おもふものから
あめふりて,みつまさりけり,あまのかは,こよひはよそに,こひむとやみし
みつまさり,あさきせしらす,なりぬとも,あまのとわたる,ふねもなしやは
たなはたも,あふよありけり,あまのかは,このわたりには,わたるせもなし
ひこほしの,まれにあふよの,とこなつは,うちはらへとも,つゆけかりけり
こひこひて,あはむとおもふ,ゆふくれは,たなはたつめも,かくそあるらし
たくひなき,ものとはわれそ,なりぬへき,たなはたつめは,ひとめやはもる
あまのかは,なかれてこひは,うくもそある,あはれとおもふ,せにはやくみむ
たまかつら,たえぬものから,あらたまの,としのわたりは,たたひとよのみ
あきのよの,こころもしるく,たなはたの,あへるこよひは,あけすもあらなむ
ちきりけむ,ことのはいまは,かへしてむ,としのわたりに,よりぬるものを
あふことの,こよひすきなは,たなはたに,おとりやしなむ,こひはまさりて
たなはたの,あまのとわたる,こよひさへ,をちかちひとの,つれなかるらむ
あまのかは,とほきわたりは,なけれとも,きみかふなては,としにこそまて
あまのかは,いはこすなみの,たちゐつつ,あきのなぬかの,けふをしそまつ
けふよりは,あまのかはらは,あせななむ,そこひともなく,たたわたりなむ
あまのかは,なかれてこふる,たなはたの,なみたなるらし,あきのしらつゆ
あまのかは,せせのしらなみ,たかけれと,たたわたりきぬ,まつにくるしみ
あきくれは,かはきりわたる,あまのかは,かはかみみつつ,こふるひのおほき
あまのかは,こひしきせにそ,わたりぬる,たきつなみたに,そてはぬれつつ
たなはたの,としとはいはし,あまのかは,くもたちわたり,いさみたれなむ
あきのよの,あかぬわかれを,たなはたは,たてぬきにこそ,おもふへらなれ
たなはたの,かへるあしたの,あまのかは,ふねもかよはぬ,なみもたたなむ
あさとあけて,なかめやすらむ,たなはたは,あかぬわかれの,そらをこひつつ
あきかせの,ふけはさすかに,わひしきは,よのことわりと,おもふものから
まつむしの,はつこゑさそふ,あきかせは,おとはやまより,ふきそめにけり
ゆくほたる,くものうへまて,いぬへくは,あきかせふくと,かりにつけこせ
あきかせの,くさはそよきて,ふくなへに,ほのかにしつる,ひくらしのこゑ
ひくらしの,こゑきくやまの,ちかけれや,なきつるなへに,いりひさすらむ
ひくらしの,こゑきくからに,まつむしの,なにのみひとを,おもふころかな
こころありて,なきもしつるか,ひくらしの,いつれもものの,あきてうけれは
あきかせの,ふきくるよひは,きりきりす,くさのねことに,こゑみたれけり
わかことく,ものやかなしき,きりきりす,くさのやとりに,こゑたえすなく
こむといひし,ほとやすきぬる,あきののに,たれまつむしそ,こゑのかなしき
あきののに,きやとるひとも,おもほえす,たれをまつむし,ここらなくらむ
あきかせの,ややふきしけは,のをさむみ,わひしきこゑに,まつむしそなく
あきくれは,のもせにむしの,おりみたる,こゑのあやをは,たれかきるらむ
かせさむみ,なくあきむしの,なみたこそ,くさはいろとる,つゆとおくらめ
あきかせの,ふきしくまつは,やまなから,なみたちかへる,おとそきこゆる
まつのねに,かせのしらへを,まかせては,たつたひめこそ,あきはひくらし
やまさとの,ものさひしきは,をきのはの,なひくことにそ,おもひやらるる
ほにはいてぬ,いかにかせまし,はなすすき,みをあきかせに,すてやはててむ
あけくらし,まもるたのみを,からせつつ,たもとそほつの,みとそなりぬる
こころもて,おふるやまたの,ひつちほは,きみまもらねと,かるひともなし
くさのいとに,ぬくしらたまと,みえつるは,あきのむすへる,つゆにそありける
あききりの,たちぬるときは,くらふやま,おほつかなくそ,みえわたりける
はなみにと,いてにしものを,あきののの,きりにまよひて,けふはくらしつ
うらちかく,たつあききりは,もしほやく,けふりとのみそ,みえわたりける
をるからに,わかなはたちぬ,をみなへし,いさおなしくは,はなはなにみむ
あきののの,つゆにおかるる,をみなへし,はらふひとなみ,ぬれつつやふる
をみなへし,はなのこころの,あたなれは,あきにのみこそ,あひわたりけれ
さみたれに,ぬれにしそてに,いととしく,つゆおきそふる,あきのわひしさ
おほかたも,あきはわひしき,ときなれと,つゆけかるらむ,そてをしそおもふ
しらつゆの,かはるもなにか,をしからむ,ありてののちも,ややうきものを
うゑたてて,きみかしめゆふ,はななれは,たまとみえてや,つゆもおくらむ
をりてみる,そてさへぬるる,をみなへし,つゆけきものと,いまやしるらむ
よろつよに,かからむつゆを,をみなへし,なにおもふとか,またきぬるらむ
おきあかす,つゆのよなよな,へにけれは,またきぬるとも,おもはさりけり
いまははや,うちとけぬへき,しらつゆの,こころおくまて,よをやへにける
しらつゆの,うへはつれなく,おきゐつつ,はきのしたはの,いろをこそみれ
こころなき,みはくさはにも,あらなくに,あきくるかせに,うたかはるらむ
ひとはいさ,ことそともなき,なかめにそ,われはつゆけき,あきもしらるる
はなすすき,ほにいつることも,なきやとは,むかししのふの,くさをこそみれ
やともせに,うゑなへつつそ,われはみる,まねくをはなに,ひとやとまると
あきのよを,いたつらにのみ,おきあかす,つゆはわかみの,うへにそありける
おほかたに,おくしらつゆも,いまよりは,こころしてこそ,みるへかりけれ
つゆならぬ,わかみとおもへと,あきのよを,かくこそあかせ,おきゐなからに
しらつゆの,おくにあまたの,こゑすれは,はなのいろいろ,ありとしらなむ
くれはては,つきもまつへし,をみなへし,あめやめてとは,おもはさらなむ
あきのたの,かりほのやとの,にほふまて,さけるあきはき,みれとあかぬかも
あきのよを,まとろますのみ,あかすみは,ゆめちとたにそ,たのまさりける
しくれふり,ふりなはひとに,みせもあへす,ちりなはをしみ,をれるあきはき
ゆきかへり,をりてかささむ,あさなあさな,しかたちならす,のへのあきはき
わかやとの,にはのあきはき,ちりぬめり,のちみむひとや,くやしとおもはむ
しらつゆの,おかまくをしき,あきはきを,をりてはさらに,われやかくさむ
あきはきの,いろつくあきを,いたつらに,あまたかそへて,おいそしにける
あきのたの,かりほのいほの,とまをあらみ,わかころもては,つゆにぬれつつ
わかそてに,つゆそおくなる,あまのかは,くものしからみ,なみやこすらむ
