ふるゆきの,みのしろころも,うちきつつ,はるきにけりと,おとろかれぬる
あけなから,としふることは,たまくしけ,みのいたつらに,なれはなりけり
たのまれぬ,うきよのなかを,なけきつつ,ひかけにおふる,みをいかにせむ
あふさかの,ゆふつけになく,とりのねを,ききとかめすそ,ゆきすきにける
みやまより,ひひききこゆる,ひくらしの,こゑをこひしみ,いまもけぬへし
ひくらしの,こゑをこひしみ,けぬへくは,みやまとほりに,はやもきねかし
ちかはれし,かものかはらに,こまとめて,しはしみつかへ,かけをたにみむ
わかのりし,ことをうしとや,きえにけむ,くさはにかかる,つゆのいのちは
かくてのみ,やむへきものか,ちはやふる,かものやしろの,よろつよをみむ
みこしをか,いくそのよよに,としをへて,けふのみゆきを,まちてみつらむ
いつれをか,あめともわかむ,やまふしの,おつるなみたも,ふりにこそふれ
おもひには,きゆるものそと,しりなから,けさしもおきて,なににきつらむ
めつらしや,むかしなからの,やまのゐは,しつめるかけそ,くちはてにける
うちかはの,なみにみなれし,きみませは,われもあしろに,よりぬへきかな
ふきいつる,ねところたかく,きこゆなり,はつあきかせは,いさてならさし
こころして,まれにふきつる,あきかせを,やまおろしには,なさしとそおもふ
はかなくて,たえなむくもの,いとゆゑに,なににかおほく,かかむとそおもふ
むかしより,くらまのやまと,いひけるは,わかことひとも,よるやこえけむ
くもゐちの,はるけきほとの,そらことは,いかなるかせの,ふきてつけけむ
あまくもの,うきたることと,ききしかと,なほそこころは,そらになりにし
やれはをし,やらねはひとに,みえぬへし,なくなくもなほ,かへすまされり
もちつきの,こまよりおそく,いてつれは,たとるたとるそ,やまはこえつる
よろつよを,ちきりしことの,いたつらに,ひとわらへにも,なりぬへきかな
かけていへは,ゆゆしきものを,よろつよと,ちきりしことや,かなはさるへき
ちるとみて,そてにうくれと,たまらぬは,あれたるなみの,はなにそありける
たちさわく,なみまをわけて,かつきてし,おきのもくつを,いつかわすれむ
かつきいてし,おきのもくつを,わすれすは,そこのみるめを,われにからせよ
かきりなく,おもふこころは,つくはねの,このもやいかか,あらむとすらむ
おもひいてて,とふことのはを,たれみまし,みのしらくもと,なりなましかは
わすれなむと,おもふこころの,つくからに,ことのはさへや,いへはゆゆしき
かくれゐて,わかうきさまを,みつのうへの,あわともはやく,おもひきえなむ
ひとこころ,いさやしらなみ,たかけれは,よらむなきさそ,かねてかなしき
なほききに,まかれるえたも,あるものを,けをふききすを,いふかわりなさ
うつろはぬ,こころのふかく,ありけれは,ここらちるはな,はるにあへること
たまたれの,あみめのまより,ふくかせの,さむくはそへて,いれむおもひを
しらなみの,うちさわかれて,たちしかは,みをうしほにそ,そてはぬれにし
とりもあへす,たちさわかれし,あたなみに,あやなくなにに,そてのぬれけむ
たたちとも,たのまさらなむ,みにちかき,ころものせきも,ありといふなり
あはぬまに,こひしきみちも,しりにしを,なとうれしきに,まよふこころそ
いかなりし,ふしにかいとの,みたれけむ,しひてくれとも,とけすみゆるは
みなくとも,ひとにしられし,よのなかに,しられぬやまを,しるよしもかな
よのなかに,しられぬやまに,みなくとも,たにのこころや,いはておもはむ
おとにのみ,ききてはやまし,あさくとも,いさくみみてむ,やまのゐのみつ
してのやま,たとるたとるも,こえななて,うきよのなかに,なにかへりけむ
かすならぬ,みをもちににて,よしのやま,たかきなけきを,おもひこりぬる
よしのやま,こえむことこそ,かたからめ,こらむなけきの,かすはしりなむ
かすならぬ,みにおくよひの,しらたまは,ひかりみえさす,ものにそありける
なにはかた,みきはのあしの,おいかよに,うらみてそふる,ひとのこころを
わするとは,うらみさらなむ,はしたかの,とかへるやまの,しひはもみちす
をちこちの,ひとめまれなる,やまさとに,いへゐせむとは,おもひきやきみ
みをうしと,ひとしれぬよを,たつねこし,くものやへたつ,やまにやはあらぬ
あさなけに,よのうきことを,しのひつつ,なかめせしまに,としはへにけり
はるやこし,あきやゆきけむ,おほつかな,かけのくちきと,よをすくすみは
よのなかは,うきものなれや,ひとことの,とにもかくにも,きこえくるしき
むさしのは,そてひつはかり,わけしかと,わかむらさきは,たつねわひにき
おほあらきの,もりのくさとや,なりにけむ,かりにたにきて,とふひとのなき
あはれてふ,ことこそつねの,くちのはに,かかるやひとを,おもふなるらむ
ふくかせの,したのちりにも,あらなくに,さもたちやすき,わかなきなかな
ふるさとの,さほのかはみつ,けふもなほ,かくてあふせは,うれしかりけり
わかやとを,いつならしてか,ならのはを,ならしかほには,をりにおこする
ならのはの,はもりのかみの,ましけるを,しらてそをりし,たたりなさるな
かへりては,こゑやたかはむ,ふえたけの,つらきひとよの,かたみとおもへは
ひとふしに,うらみなはてそ,ふえたけの,こゑのうちにも,おもふこころあり
ひとにつく,たよりたになし,おほあらきの,もりのしたなる,くさのみなれは
むすひおきし,かたみのこたに,なかりせは,なににしのふの,くさをつままし
うれしきも,うきもこころは,ひとつにて,わかれぬものは,なみたなりけり
をしからて,かなしきものは,みなりけり,うきよそむかむ,かたをしらねは
おもひいつる,ときそかなしき,よのなかは,そらゆくくもの,はてをしらねは
あはれとも,うしともいはし,かけろふの,あるかなきかに,けぬるよなれは
あはれてふ,ことになくさむ,よのなかを,なとかむかしと,いひてすくらむ
ものおもふと,ゆきてもみねは,たかかたの,あまのとまやは,くちやしぬらむ
ゆめにたに,うれしともみは,うつつにて,わひしきよりは,なほまさりなむ
いはのうへに,たひねをすれは,いとさむし,こけのころもを,われにかさなむ
よをそむく,こけのころもは,たたひとへ,かさねはうとし,いさふたりねむ
あふことの,としきりしぬる,なけきには,みのかすならぬ,ものにそありける
あたひとも,なきにはあらす,ありなから,わかみにはまた,ききそならはぬ
みやひとと,ならまほしきを,をみなへし,のへよりきりの,たちいててそくる
わかみにも,あらぬわかみの,かなしきに,こころもことに,なりやしにけむ
よのなかを,しらすなからも,つのくにの,なにはたちぬる,ものにそありける
よとともに,わかぬれきぬと,なるものは,わふるなみたの,きするなりけり
うけれとも,かなしきものを,ひたふるに,われをやひとの,おもひすつらむ
かなしきも,うきもしりにし,ひとつなを,たれをわくとか,おもひすつへき
みちしらぬ,ものならなくに,あしひきの,やまふみまよふ,ひともありけり
しらかしの,ゆきもきえにし,あしひきの,やまちをたれか,ふみまよふへき
いふことの,たかはぬものに,あらませは,のちうきことと,きこえさらまし
おもかけを,あひみしかすに,なすときは,こころのみこそ,しつめられけれ
ぬきとめぬ,かみのすちもて,あやしくも,へにけるとしの,かすをしるかな
なみかすに,あらぬみなれは,すみよしの,きしにもよらす,なりやはてなむ
つきもせす,うきことのはの,おほかるを,はやくあらしの,かせもふかなむ
しまかくれ,ありそにかよふ,あしたつの,ふみおくあとは,なみもけたなむ
みははやく,なきもののこと,なりにしを,きえせぬものは,こころなりけり
むつましき,いもせのやまの,なかにさへ,へたつるくもの,はれすもあるかな
わかために,おきにくかりし,はしたかの,ひとのてにありと,きくはまことか
こゑにたてて,いはねとしるし,くちなしの,いろはわかため,うすきなりけり
たきつせの,はやからぬをそ,うらみつる,みすともおとに,きかむとおもへは
みなひとに,ふみみせけりな,みなせかは,そのわたりこそ,まつはあさけれ
としふれは,わかくろかみも,しらかはの,みつはくむまて,おいにけるかな
かさすとも,たちとたちなむ,なきなをは,ことなしくさの,かひやなからむ
かへりくる,みちにそけさは,まよふらむ,これになすらふ,はななきものを
おほそらに,ゆきかふとりの,くもちをそ,ひとのふみみぬ,ものといふなる
きのくにの,なくさのはまは,きみなれや,ことのいふかひ,ありとききつる
なみにのみ,ぬれつるものを,ふくかせの,たよりうれしき,あまのつりふね
みとりなる,まつほとすきは,いかてかは,したははかりも,もみちせさらむ
おもひいての,けふりやまさむ,なきひとの,ほとけになれる,このみみはきみ
みちなれる,このみたつねて,こころさし,ありとみるにそ,ねをはましける
いつこにも,みをははなれぬ,かけしあれは,ふすとこことに,ひとりやはぬる
かせしもに,いろもこころも,かはらねは,あるしににたる,うゑきなりけり
やまふかみ,あるしににたる,うゑきをは,みえぬいろとそ,いふへかりける
おほゐかは,うかへるふねの,かかりひに,をくらのやまも,なのみなりけり
あすかかは,わかみひとつの,ふちせゆゑ,なへてのよをも,うらみつるかな
よのなかを,いとひかてらに,こしかとも,うきみなからの,やまにそありける
したにのみ,はひわたりつる,あしのねの,うれしきあめに,あらはるるかな
たきつせに,たれしらたまを,みたりけむ,ひろふとせしに,そてはひちにき
いつのまに,ふりつもるらむ,みよしのの,やまのかひより,くつれおつるゆき
みやのたき,うへもなにおひて,きこえけり,おつるしらあわの,たまとひひけは
いまさらに,われはかへらし,たきみつつ,よへときかすと,とははこたへよ
たきつせの,うつまきことに,とめくれと,なほたつねくる,よのうきめかな
たらちめは,かかれとてしも,うはたまの,わかくろかみを,なてすやありけむ
うゑしとき,ちきりやしけむ,たけくまの,まつをふたたひ,あひみつるかな
すかはらや,ふしみのくれに,みわたせは,かすみにまかふ,をはつせのやま
ことのはも,なくてへにける,としつきに,このはるたにも,はなはさかなむ
なにはつを,けふこそみつの,うらことに,これやこのよを,うみわたるふね
しらくもの,きやとるみねの,こまつはら,えたしけけれや,ひのひかりみぬ
みにさむく,あらぬものから,わひしきは,ひとのこころの,あらしなりけり
なからへは,ひとのこころも,みるへきを,つゆのいのちそ,かなしかりける
もろともに,いさとはいはて,してのやま,いかてかひとり,こえむとはせし
おしなへて,みねもたひらに,なりななむ,やまのはなくは,つきもかくれし
わかやとに,あひやとりして,すむかはつ,よるになれはや,ものはかなしき
たまえこく,あしかりをふね,さしわけて,たれをたれとか,われはさためむ
みちのくの,をふちのこまも,のかふには,あれこそまされ,なつくものかは
いつくとて,たつねきつらむ,たまかつら,われはむかしの,われならなくに
あさことに,みしみやこちの,たえぬれは,ことあやまりに,とふひともなし
いつしかと,まつちのやまの,さくらはな,まちてもよそに,きくかかなしさ
いせわたる,かははそてより,なかるれと,とふにとはれぬ,みはうきぬめり
ひとめたに,みえぬやまちに,たつくもを,たれすみかまの,けふりといふらむ
あすかかは,ふちせにかはる,こころとは,みなかみしもの,ひともいふめり
いまこむと,いひしはかりを,いのちにて,まつにけぬへし,さくさめのとし
かすならぬ,みのみものうく,おもほえて,またるるまても,なりにけるかな
ありときく,おとはのやまの,ほとときす,なにかくるらむ,なくこゑはして
あしのうらの,いときたなくも,みゆるかな,なみはよりても,あらはさりけり
ひとこころ,たとへてみれは,しらつゆの,きゆるまもなほ,ひさしかりけり
よのなかと,いひつるものか,かけろふの,あるかなきかの,ほとにそありける
かくはかり,わかれのやすき,よのなかに,つねとたのめる,われそはかなき
ちりにたつ,わかなきよめむ,ももしきの,ひとのこころを,まくらともかな
うきことを,しのふるあめの,したにして,わかぬれきぬは,ほせとかわかす
あふことの,かたみのこゑの,たかけれは,わかなくねとも,ひとはきかなむ
なみたのみ,しるみのうさも,かたるへく,なけくこころを,まくらにもかな
あひにあひて,ものおもふころの,わかそては,やとるつきさへ,ぬるるかほなる
あはれてふ,ことにしるしは,なけれとも,いはてはえこそ,あらぬものなれ
うつろはぬ,なになかれたる,かはたけの,いつれのよにか,あきをしるへき
ふかきおもひ,そめつといひし,ことのはは,いつかあきかせ,ふきてちりぬる
こころなき,みはくさきにも,あらなくに,あきくるかせに,うたかはるらむ
みのうきを,しれははしたに,なりぬへみ,おもひはむねの,こかれのみする
くもちをも,しらぬわれさへ,もろこゑに,けふはかりとそ,なきかへりぬる
またきから,おもひこきいろに,そめむとや,わかむらさきの,ねをたつぬらむ
みえもせぬ,ふかきこころを,かたりては,ひとにかちぬと,おもふものかは
いせのうみに,としへてすみし,あまなれと,かかるみるめは,かつかさりしを
あしひきの,やまのやまとり,かひもなし,みねのしらくも,たちしよらねは
われならぬ,くさはもものは,おもひけり,そてよりほかに,おけるしらつゆ
ひとこころ,あらしのかせの,さむけれは,このめもみえす,えたそしをるる
うきなから,ひとをわすれむ,ことかたみ,わかこころこそ,かはらさりけれ
うたたねの,とこにとまれる,しらたまは,きみかおきける,つゆにやあるらむ
かひもなき,くさのまくらに,おくつゆの,なににきえなて,おちとまりけむ
おもひやる,かたもしられす,くるしきは,こころまとひの,つねにやあるらむ
すすむしに,おとらぬねこそ,なかれけれ,むかしのあきを,おもひやりつつ
ゆふくれの,さひしきものは,あさかほの,はなをたのめる,やとにそありける
ははそやま,みねのあらしの,かせをいたみ,ふることのはを,かきそあつむる
よのなかを,いとひてあまの,すむかたも,うきめのみこそ,みえわたりけれ
やまかはの,おとにのみきく,ももしきを,みをはやなから,みるよしもかな
よのなかは,いかにやいかに,かせのおとを,きくにもいまは,ものやかなしき
よのなかは,いさともいさや,かせのおとは,あきにあきそふ,ここちこそすれ
たとへくる,つゆとひとしき,みにしあらは,わかおもひにも,きえむとやする
ささかにの,そらにすかける,いとよりも,こころほそしや,たえぬとおもへは
かせふけは,たえぬとみゆる,くものいも,またかきつかて,やむとやはきく
なにたちて,ふしみのさとと,いふことは,もみちをとこに,しけはなりけり
われもおもふ,ひともわするな,ありそうみの,うらふくかせの,やむときもなく
あしひきの,やましたとよみ,なくとりも,わかことたえす,ものおもふらめや
いまはとて,あきはてられし,みなれとも,きりたちひとを,えやはわするる
おもひいてて,きつるもしるく,もみちはの,いろはむかしに,かはらさりけり
みねたかみ,ゆきてもみへき,もみちはを,わかゐなからも,かさしつるかな
まつひとは,きぬときけとも,あらたまの,としのみこゆる,あふさかのせき
をりをりに,うちてたくひの,けふりあらは,こころさすかを,しのへとそおもふ
あたひとの,たむけにをれる,さくらはな,あふさかまては,ちらすもあらなむ
おもひやる,こころはかりは,さはらしを,なにへたつらむ,みねのしらくも
ふたみやま,ともにこえねと,ますかかみ,そこなるかけを,たくへてそやる
しなのなる,あさまのやまも,もゆなれは,ふしのけふりの,かひやなからむ
このたひも,われをわすれぬ,ものならは,うちみむたひに,おもひいてなむ
うちすてて,きみしいなはの,つゆのみは,きえぬはかりそ,ありとたのむな
をしとおもふ,こころはなくて,このたひは,ゆくうまにむちを,おほせつるかな
きみかてを,かれゆくあきの,すゑにしも,のかひにはなつ,うまそかなしき
いまはとて,たちかへりゆく,ふるさとの,ふはのせきちに,みやこわするな
みをわくる,ことのかたさに,ますかかみ,かけはかりをそ,きみにそへつる
はつかりの,われもそらなる,ほとなれは,きみもものうき,たひにやあるらむ
いとせめて,こひしきたひの,からころも,ほとなくかへす,ひともあらなむ
からころも,たつひをよそに,きくひとは,かへすはかりの,ほともこひしを
こひしくは,ことつてもせむ,かへるさの,かりかねはまつ,わかやとになけ
わかれては,いつあひみむと,おもふらむ,かきりあるよの,いのちともなし
そむかれぬ,まつのちとせの,ほとよりも,ともともとたに,したはれそせし
ともともと,したふなみたの,そふみつは,いかなるいろに,みえてゆくらむ
わかるれと,あひもをしまぬ,ももしきを,みさらむことや,なにかかなしき
みひとつに,あらぬはかりを,おしなへて,ゆきめくりても,なとかみさらむ
わかれゆく,みちのくもゐに,なりゆけは,とまるこころも,そらにこそなれ
いかてなほ,かさとりやまに,みをなして,つゆけきたひに,そはむとそおもふ
かさとりの,やまとたのみし,きみをおきて,なみたのあめに,ぬれつつそゆく
きみかゆく,かたにありてふ,なみたかは,まつはそてにそ,なかるへらなる
そてぬれて,わかれはすとも,からころも,ゆくとないひそ,きたりとをみむ
わかれちは,こころもゆかす,からころも,きれはなみたそ,さきにたちける
そへてやる,あふきのかせし,こころあらは,わかおもふひとの,てをなはなれそ
きみをのみ,しのふのさとへ,ゆくものを,あひつのやまの,はるけきやなそ
としをへて,あひみるひとの,わかれには,をしきものこそ,いのちなりけれ
ゆくさきを,しらぬなみたの,かなしきは,たためのまへに,おつるなりけり
わするなと,いふになかるる,なみたかは,うきなをすすく,せともならなむ
われをのみ,おもひつるかの,うらならは,かへるのやまは,まとはさらまし
きみをのみ,いつはたとおもひ,こしなれは,ゆききのみちは,はるけからしを
あきふかく,たひゆくひとの,たむけには,もみちにまさる,ぬさなかりけり
もみちはを,ぬさとたむけて,ちらしつつ,あきとともにや,ゆかむとすらむ
まちわひて,こひしくならは,たつぬへく,あとなきみつの,うへならてゆけ
こむといひて,わかるるたにも,あるものを,しられぬけさの,ましてわひしき
さらはよと,わかれしときに,いはませは,われもなみたに,おほほれなまし
はるかすみ,はかなくたちて,わかるとも,かせよりほかに,たれかとふへき
めにみえぬ,かせにこころを,たくへつつ,やらはかすみの,わかれこそせめ
きみかよは,つるのこほりに,あえてきね,さためなきよの,うたかひもなく
おくれすそ,こころにのりて,こかるへき,なみにもとめよ,ふねみえすとも
ふねなくは,あまのかはまて,もとめてむ,こきつつしほの,なかにきえすは
かねてより,なみたそそてを,うちぬらす,うかへるふねに,のらむとおもへは
おさへつつ,われはそてにそ,せきとむる,ふねこすしほに,なさしとおもへは
わすれしと,ことにむすひて,わかるれは,あひみむまては,おもひみたるな
はつせかは,わたるせさへや,にこるらむ,よにすみかたき,わかみとおもへは
なにしおはは,あたにそおもふ,たはれしま,なみのぬれきぬ,いくよきつらむ
いととしく,すきゆくかたの,こひしきに,うらやましくも,かへるなみかな
みやこまて,おとにふりくる,しらやまは,ゆきつきかたき,ところなりけり
やまさとの,くさはのつゆも,しけからむ,みのしろころも,ぬはすともきよ
みやこにて,やまのはにみし,つきなれと,うみよりいてて,うみにこそいれ
みつひきの,しらいとはへて,おるはたは,たひのころもに,たちやかさねむ
ひくらしの,やまちをくらみ,さよふけて,このすゑことに,もみちてらせる
くさまくら,たひとなりなは,やまのへに,しらくもならぬ,われややとらむ
みつもせに,うきたるときは,しからみの,うちのとのとも,みえぬもみちは
はなさきて,みならぬものは,わたつうみの,かさしにさせる,おきつしらなみ
あしからの,せきのやまちを,ゆくひとは,しるもしらぬも,うとからぬかな
ひとことに,けふけふとのみ,こひらるる,みやこちかくも,なりにけるかな
てるつきの,なかるるみれは,あまのかは,いつるみなとは,うみにそありける
くさまくら,もみちむしろに,かへたらは,こころをくたく,ものならましや
おもふひと,ありてかへれは,いつしかの,つままつよひの,こゑそかなしき
くさまくら,ゆふてはかりは,なになれや,つゆもなみたも,おきかへりつつ
あきやまに,まとふこころを,みやたきの,たきのしらあわに,けちやはててむ
よろつよの,しもにもかれぬ,しらきくを,うしろやすくも,かさしつるかな
くもわくる,あまのはころも,うちきては,きみかちとせに,あはさらめやは
ことしより,わかなにそへて,おいのよに,うれしきことを,つまむとそおもふ
ことのねも,たけもちとせの,こゑするは,ひとのおもひに,かよふなりけり
ももとせと,いはふをわれは,ききなから,おもふかためは,あかすそありける
おほはらや,をしほのやまの,こまつはら,はやこたかかれ,ちよのかけみむ
うちよする,なみのはなこそ,さきにけれ,ちよまつかせや,はるになるらむ
きみかため,まつのちとせも,つきぬへし,これよりまさむ,かみのよもかな
ももとせに,やそとせそへて,いのりくる,たまのしるしを,きみみさらめや
けふそくを,おさへてまさへ,よろつよに,はなのさかりを,こころしつかに
きみかため,いはふこころの,ふかけれは,ひしりのみよの,あとならへとそ
をしへおく,ことたかはすは,ゆくすゑの,みちとほくとも,あとはまとはし
やまひとの,これるたききは,きみかため,おほくのとしを,つまむとそおもふ
としのかす,つまむとすなる,おもにには,いととこつけを,こりもそへなむ
きみかため,うつしてううる,くれたけに,ちよもこもれる,ここちこそすれ
をののえの,くちむもしらす,きみかよの,つきむかきりは,うちこころみよ
なみたてる,まつのみとりの,えたわかす,をりつつちよを,たれとかはみむ
いはふこと,ありとなるへし,けふなれと,としのこなたに,はるもきにけり
またしらぬ,ひともありけり,あつまちに,われもゆきてそ,すむへかりける
はるのよの,ゆめのなかにも,おもひきや,きみなきやとを,ゆきてみむとは
やとみれは,ねてもさめても,こひしくて,ゆめうつつとも,わかれさりけり
はかなくて,よにふるよりは,やましなの,みやのくさきと,ならましものを
やましなの,みやのくさきと,きみならは,われはしつくに,ぬるはかりなり
わかれにし,ほとをはてとも,おもほえす,こひしきことの,かきりなけれは
たねもなき,はなたにちらぬ,やともあるを,なとかかたみの,こたになからむ
むすひおきし,たねならねとも,みるからに,いととしのふの,くさをつむかな
ここらよを,きくかうちにも,かなしきは,ひとのなみたも,つきやしぬらむ
きくひとも,あはれてふなる,わかれには,いととなみたそ,つきせさりける
いたつらに,けふやくれなむ,あたらしき,はるのはしめは,むかしなからに
なくなみた,ふりにしとしの,ころもては,あたらしきにも,かはらさりけり
ひとのよの,おもひにかなふ,ものならは,わかみはきみに,おくれましやは
ねぬゆめに,むかしのかへを,みつるより,うつつにものそ,かなしかりける
ゆふされは,ねになくをしの,ひとりして,つまこひすなる,こゑのかなしさ
をみなへし,かれにしのへに,すむひとは,まつさくはなを,またてともみす
なきひとの,かけたにみえぬ,やりみつの,そこはなみたに,なかしてそこし
ひとりゆく,ことこそうけれ,ふるさとの,ならのならひて,みしひともなみ
すみそめの,こきもうすきも,みるときは,かさねてものそ,かなしかりける
きのふまて,ちよとちきりし,きみをわか,してのやまちに,たつぬへきかな
あらたまの,としこえくらし,つねもなき,はつうくひすの,ねにそなかるる
ねにたてて,なかぬひはなし,うくひすの,むかしのはるを,おもひやりつつ
もろともに,おきゐしあきの,つゆはかり,かからむものと,おもひかけきや
よのなかの,かなしきことを,きくのうへに,おくしらつゆそ,なみたなりける
きくにたに,つゆけかるらむ,ひとのよを,めにみしそてを,おもひやらなむ
ひきうゑし,ふたはのまつは,ありなから,きみかちとせの,なきそかなしき
きみまさて,としはへぬれと,ふるさとに,つきせぬものは,なみたなりけり
すきにける,ひとをあきしも,とふからに,そてはもみちの,いろにこそなれ
そてかわく,ときなかりつる,わかみには,ふるをあめとも,おもはさりけり
ふるさとに,きみはいつらと,まちとはは,いつれのそらの,かすみといはまし
きみかいにし,かたやいつれそ,しらくもの,ぬしなきやとと,みるかかなしさ
わひひとの,たもとにきみか,うつりせは,ふちのはなとそ,いろはみえまし
よそにをる,そてたにひちし,ふちころも,なみたにはなも,みえすそあらまし
ほともなく,たれもおくれぬ,よなれとも,とまるはゆくを,かなしとそみる
ときのまも,なくさめつらむ,さめぬまは,ゆめにたにみぬ,われそかなしき
かなしさの,なくさむへくも,あらさりつ,ゆめのうちにも,ゆめとみゆれは
かけてたに,わかみのうへと,おもひきや,こむとしはるの,はなをみしとは
なくこゑに,そひてなみたは,のほらねと,くものうへより,あめとふるらむ
なきひとの,ともにしかへる,としならは,くれゆくけふは,うれしからまし
こふるまに,としのくれなは,なきひとの,わかれやいとと,とほくなりなむ
