あらたまの,としもかはらて,たつはるは,かすみはかりそ,そらにしりける
ほのかにも,かきねのうめの,にほふかな,となりをしめて,はるはきにけり
けふよりや,おのかはるへと,しらゆきの,ふるとしかけて,さけるうめかえ
いかたしの,こすてにつもる,としなみの,けふのくれをも,しらぬはかなさ
ゆくとしを,しらぬいのちに,まかせても,あすをありとや,はるをまつらむ
ゆきつもる,やまちのふゆを,かそふれは,あはれわかみの,ふりにけるかな
かそふれは,としのをはりに,なりにけり,わかみのはてそ,いととかなしき
わかそては,くさのいほりに,あらねとも,くるれはつゆの,やとりなりけり
おもふこと,いはてそたたに,やみぬへき,われとひとしき,ひとしなけれは
あさなけに,よのうきことを,しのふとて,なけきせしまに,としそへにける
さらにまた,ものをそおもふ,さならても,なけかぬときの,あるみともなく
いかにせむ,あめのしたこそ,すみうけれ,ふれはそてのみ,まなくぬれつつ
あさちはら,のわきにあへる,つゆよりも,なほありかたき,みをいかにせむ
こふれとも,ゆきもかへらぬ,いにしへに,いまはいかてか,あはむとすらむ
こひしとも,いはてそおもふ,たまきはる,たちかへるへき,むかしならねは
いにしへを,おもひいつるの,かなしきは,なけともそらに,しるひとそなき
なけきつつ,わかみはなきに,なりはてぬ,いまはこのよを,わすれにしかな
おもひいてて,よるはすからに,ねをそなく,ありしむかしの,よよのふること
よにふれは,うきことのはの,かすことに,たえすなみたの,つゆそおきける
なへてよの,ならひとひとや,おもふらむ,うしといひても,あまるなみたを
かすかやま,いまひとたひと,たつねきて,みちみえぬまて,ふるなみたかな
かすかやま,いかになかれし,たにみつの,すゑをこほりの,とちはてつらむ
よものうみを,すすりのみつに,つくすとも,わかおもふことは,かきもやられし
ゆくすゑに,かからむみとも,しらすして,わかたらちねの,おほしたてけむ
さしはなれ,みかさのやまを,いてしより,みをしるあめに,ぬれぬひそなき
かはかりと,おもひはてにし,よのなかに,なにゆゑとまる,こころなるらむ
いたつらに,よそちのさかは,こえにけり,みやこもしらぬ,なかめせしまに
なみたもて,たれかおりけむ,からころも,たちてもゐても,ぬるるそてかな
しのふるも,わかことわりと,いひなから,さてもむかしと,とふひとそなき
あらきかせ,ふきやをやむと,まつほとに,もとのこころの,ととこほりぬる
いにしへの,こひしきたひに,おもふかな,さらぬわかれは,けにうかりけり
みのはてよ,いかにかならむ,ひとしれぬ,こころにはつる,こころならすは
さてもさは,すまはすむへき,よのなかに,ひとのこころの,にこりはてぬる
さてもまた,いくよかはへむ,よのなかに,うきみひとつの,おきところなさ
わたつうみの,しほひにたてる,みをつくし,ひとのこころそ,しるしたになき
もろともに,やまへをめくる,むらしくれ,さてもうきよに,ふるそかなしき
よのなかに,あさはあとなく,なりにけり,こころのままの,よもきのみして
あととめて,ふるきをしたふ,よならなむ,いまもありへは,むかしなるへし
たのもしな,きみきみにます,ときにあひて,こころのいろを,ふてにそめつる
なをとむる,よよはむかしに,たえねとも,すくれしあとそ,みるもかしこき
かはなみを,いかかはからむ,ふなひとの,とわたるかちの,あとはたえねと
くりかへし,しつのをたまき,いくたひも,とほきむかしを,こひぬひそなき
いかさまに,ちきりおきてし,みかさやま,かけなひくまて,つきをみるらむ
みかさやま,みちふみそめし,つきかけに,いまそこころの,やみははれぬる
かけたけて,くやしかるへき,あきのつき,やみちちかくも,なりやしぬらむ
のちのよの,みをしるあめの,かきくもり,こけのたもとに,ふらぬひそなき
くものうへの,つるのけころも,ぬきすてて,さはにとしへむ,ほとのひさしさ
おりきつる,くものうへのみ,こひしくて,あまつそらなる,ここちこそすれ
としへぬる,くもゐはなれて,あしたつの,いかなるさはに,すまむとすらむ
あちたつの,くものうへにし,なれぬれは,さはにすむとも,かへらさらめや
わすれめや,つかひのをさを,さきたてて,わたるみはしに,にほふたちはな
をさまれる,たみのつかさの,みつきもの,ふたたひきくも,いのちなりけり
ももしきの,とのへをいつる,よひよひは,またぬにむかふ,やまのはのつき
うれしさも,つつみなれにし,そてにまた,はてはあまりの,みをそうらむる
あふさかの,ゆふつけとりも,わかことや,こえゆくひとの,あとになくらむ
まとろまて,ものおもふやとの,なかきよは,とりのねはかり,うれしきはなし
かねのおとを,なにとてむかし,うらみけむ,いまはこころも,あけかたのそら
みのうへに,ふりゆくしもの,かねのおとを,ききおとろかぬ,あかつきそなき
あかつきの,かねそあはれを,うちそふる,うきよのゆめの,さむるまくらに
はつせやま,あらしのみちの,とほけれは,いたりいたらぬ,かねのおとかな
おもふこと,またつきはてぬ,なかきよの,ねさめにまくる,かねのおとかな
みのうさを,おもひつつけぬ,あかつきに,おくらむつゆの,ほとをしらはや
なにとなく,くちきのそまの,やまくたし,くたすひくれは,ねそなかれける
つくつくと,むなしきそらを,なかめつつ,いりあひのかねに,ぬるるそてかな
つくつくと,くるるそらこそ,かなしけれ,あすもきくへき,かねのおとかは
あすもありと,おもふこころに,はかられて,けふをむなしく,くらしつるかな
あすもあらは,けふをもかくや,おもひいてむ,きのふのくれそ,むかしなりける
これのみと,ともなふかけも,さよふけて,ひかりそうすき,まとのともしひ
なかきよの,ゆめちたえゆく,まとのうちに,なほのこりける,あきのともしひ
あつめこし,ほたるもゆきも,としふれと,みをはてらさぬ,ひかりなりけり
ふけにける,わかよのほとの,かなしきは,かねのこゑさへ,うちわすれつつ
つきかけを,こころのうちに,まつほとは,うはのそらなる,なかめをそする
しもこほる,ふゆのかはせに,ゐるをしの,うへしたものを,おもはすもかな
なにはかた,あしまのこほり,けぬかうへに,ゆきふりかさぬ,おもしろのみや
なかれあしの,うきことをのみ,みしまえに,あとととむへき,ここちこそせね
のりのみち,をしへしやまは,きりこめて,ふみみしあとに,なほやまとはむ
わかふかく,こけのしたまて,おもひおく,うつもれぬなは,きみやのこさむ
かきつむる,かみちのやまの,ことのはの,むなしくくちむ,あとそかなしき
なかれての,なたにもとまれ,ゆくみつの,あはれはかなき,みはきえぬとも
わかのうらに,しられぬあまの,もしほくさ,すさひはかりに,くちやはてなむ
もしほくさ,かきおくあとや,いかならむ,わかみによらぬ,わかのうらなみ
ちきりおきし,ちきりのうへに,そへおかむ,わかのうらちの,あまのもしほき
わかのうらに,しほきかさぬる,ちきりをは,かけるたくもの,あとにてそみる
はかもなき,とりのあととは,おもふとも,わかすゑすゑは,あはれとをみよ
はるやくる,はなやさくとも,しらさりき,たにのそこなる,うもれきのみは
はるやいにし,あきやはくらむ,おほつかな,かけのくちきと,よをすくすみは
かすならは,はるをしらまし,みやまきの,ふかくやたにに,うもれはてなむ
くもりなき,ほしのひかりを,あふきても,あやまたぬみを,なほそうたかふ
やまはさけ,うみはあせなむ,よなりとも,きみにふたこころ,わかあらめやも
けさかふる,なつのころもは,としをへて,たちしくらゐの,いろそことなる
またしらぬ,ころものいろを,たちかへて,きみかためにと,みるそかなしき
つゆしもの,よひあかつきに,おくなれは,とこにやきみか,ふすまなからむ
きみかすむ,よかはのみつや,まさるらむ,なみたのあめの,やむよなけれは
それとみる,おなしみかさの,やまのゐの,かけにもそての,ぬれまさるかな
けさのまも,みねはなみたも,ととまらす,きみかやまちに,さそふなるへし
はちすはの,たまとなるらむと,おもふにも,そてぬれまさる,けさのつゆかな
なきひとの,ことのはうつす,みつくきは,かきもやられす,そてそぬれける
いひつつも,よははかなきを,かたみには,あはれといかて,きみにみえまし
はるたつと,きくにもものの,かなしきは,ことしのこそに,なれはなりけり
あたらしき,としにそへても,かはらねは,こふるこころそ,かたみなりける
しもかれの,よもきのかとに,さしこもり,けふのひかけを,みぬそかなしき
こころこそ,うきよのほかに,いてぬとも,みやこをたひと,いつならふらむ
まよひこし,ゆめちのやみを,いてぬれは,みやこはよその,すみそめのそて
きみこふと,くさはのしもの,よとともに,おきてもねても,ねこそなかるれ
かきりとて,たききつきにし,のへなれは,あさちふみわけて,とはぬひそなき
あさゆふに,なけきをすまに,やくしほの,からくけふりに,おくれにしかな
いにしへを,こふるなみたに,そむれはや,もみちもふかき,いろまさるらむ
ゆきかへり,みれはむかしの,あとなから,たのみしかけそ,とまらさりける
ゆめかとて,あけてみたれは,たまくしけ,いまはむなしき,みにこそありけれ
さきにほひ,かせまつほとの,やまさくら,ひとのよよりは,ひさしかりけり
いととしく,はなたちはなの,かをるかに,そめしかたみの,そてはぬれつつ
きのふまて,あひみしひとの,けふなきは,やまのくもとそ,たなひきにける
みよしのの,みふねのやまに,たつくもの,つねにあらむと,わかおもはなくに
しらつゆは,むすひやすると,はなすすき,とふへきのへも,みえぬあきかな
あさかほの,はなにやとれる,つゆのみは,のとかにものを,おもふへきかは
をはりおもふ,すまひかなしき,やまかけに,たまゆらかかる,あさかほのはな
はやせかは,わたるふなひと,かけをたに,ととめぬみつの,あはれよのなか
とりへやま,よはのけふりの,たつたひに,ひとのおもひや,いととそふらむ
とりへやま,こよひもけふり,たつめりと,いひてなかめし,ひともいつらは
ほともなく,ひまゆくこまを,みてもなほ,あはれひつしの,あゆみをそおもふ
はかなくも,けふのいのちを,たのむかな,きのふをすきし,こころならひに
かなしさは,みるたひことに,ますかかみ,かけたになとか,とまらさりけむ
なけくなよ,これはうきよの,ならひそと,なくさめおきし,ことそかなしき
あはれなと,またみるかけの,なかるらむ,くもかくれても,つきはいてけり
かすかすに,たためのまへの,おもかけの,あはれいくよに,としのへぬらむ
さてもなほ,とふにもさめぬ,ゆめなれと,おとろかさては,いかかやむへき
おもへたた,ゆめかうつつか,わきかねて,あるかなきかに,なけくこころを
みにそへて,これをかたみと,しのふへき,あとさへいまは,とまらさりけり
とへかしな,よのすみそめは,かはれとも,われのみふかき,いろやいかにと
しらたまは,からくれなゐに,うつろひぬ,こすゑもしらぬ,そてのしくれに
なこりなき,けふはきのふを,しのへとも,たつおもかけは,はつるひもなし
あさかほの,つゆのわかみを,おきなから,まつきえにける,ひとそかなしき
うつつのみ,ゆめとはみえて,おのつから,ぬるかうちには,なくさめもなし
うちむれて,たつぬるやとは,むかしにて,おもかけのみそ,あるしなりける
かはりゆく,かけにむかしを,おもひいてて,なみたをむすふ,やまのゐのみつ
ゆくひとの,むすふににこる,やまのゐの,いつまてすまむ,このよなるらむ
とまりゐる,みもおいらくの,のちなれは,さらぬわかれそ,いととかなしき
おくれしと,なけきなからに,としもへぬ,さためなきよは,なのみなりけり
おくれゐて,しなぬいのちを,うらみにて,あはれかなしき,よのわかれかな
ものことに,わすれかたみを,ととめおきて,なみたのたゆむ,ときのまそなき
いかにせむ,たのむこかけの,かれしより,すゑはにとまる,つゆたにもなし
うらむへき,よはひならねと,かなしきは,わかれてあはぬ,うきよなりけり
わかれにし,ひはいくかにも,ならねとも,むかしのひとと,いふそかなしき
やみのうちも,けふをかきりの,そらにしも,あきのなかはは,かきくらしつつ
やまのはに,かくれしひとは,みえもせて,いりにしつきは,めくりきにけり
かくれにし,ひとのかたみは,つきをみよ,こころのほかに,すめるかけかは
あすかかは,けふのふちせも,いかならむ,さらぬわかれは,まつほともなし
さためなき,よにふるさとを,ゆくみつの,けふのふちせは,あすかかはらむ
もろひとの,うつもれぬなを,うれしとや,こけのしたにも,けふはみるらむ
しらくもの,ここのへにたつ,みねなれは,おほうちやまと,いふにそありける
やましろの,くせのさきさか,かみよより,はるはもえつつ,あきはちりけり
みかのはら,くにのみやこは,あれにけり,おほみやひとの,うつりいぬれは
みやこいてて,ふしみをこゆる,あけかたは,まつうちわたす,ひつかはのはし
ふきそむる,おとたにかはれ,やましろの,ときはのもりの,あきのはつかせ
やましろの,ときはのもりの,ゆふしくれ,そめぬみとりに,あきそくれぬる
したくさも,いかてかいろの,かはるらむ,そめぬときはの,もりのしつくに
あすかかは,かはせのきりも,はれやらて,いたつらにふく,あきのゆふかせ
よのなかは,なとやまとなる,みなれかは,みなれそめすそ,あるへかりける
ちとりなく,さほのかはとの,きよきせを,こまうちわたし,いつかかよはむ
はるははな,ふゆはゆきとて,しらくもの,たえすたなひく,みよしののやま
いにしへの,いくよのはなに,はるくれて,ならのみやこの,うつろひぬらむ
いつこにも,ふりさけいまや,みかさやま,もろこしかけて,いつるつきかけ
ひさかたの,くもゐにみえし,いこまやま,はるはかすみの,ふもとなりけり
いとまあらは,ひろひにゆかむ,すみのえの,きしによるてふ,こひわすれかひ
すみよしの,ありあけのつきを,なかむれは,とほさかりにし,かけそこひしき
すみよしの,うらにふきあくる,しらなみそ,しほみつときの,はなとさきける
なにはかた,しほみつはまの,ゆふくれは,つまなきたつの,こゑのみそする
おもふこと,むかしなからの,はしはしら,ふりぬるみこそ,かなしかりけれ
みしかよの,またふしなれぬ,あしのやの,つまもあらはに,あくるしののめ
ぬのひきの,たきのしらいと,わくらはに,とひくるひとも,いくよへぬらむ
したはまて,こころのままに,そめてけり,しくれにあける,かみなひのもり
いせのうみの,おきつしらなみ,はなにもか,つつみていもか,いへつとにせむ
いせのうみの,あまのまてかた,まてしはし,うらみになみの,ひまはなくとも
あきふかく,なりにけらしな,すすかやま,もみちはあめと,ふりまかひつつ
あつさゆみ,いちしのうらの,はるのつき,あまのたくなは,よるもひくなり
ゆけはあり,ゆかねはくるし,しかすかの,わたりにきてそ,おもひたゆたふ
ひかりそふ,このまのつきに,おとろけは,あきもなかはの,さやのなかやま
すみわたる,ひかりもきよし,しろたへの,はまなのはしの,あきのよのつき
こひしくは,はまなのはしを,いててみよ,したゆくみつに,かけやとまると
ゆきかへり,たむけするかの,ふしのやま,けふりもたちゐ,きみをまつらし
ふしのねは,とはてもそらに,しられけり,くもよりうへに,みゆるしらゆき
よとともに,いつかはきえむ,ふしのやま,けふりになれて,つもるしらゆき
いつとなく,こひするかなる,うとはまの,うとくもひとの,なりまさるかな
あしからの,せきちこえゆく,しののめに,ひとむらかすむ,うきしまのはら
むさしのの,むかひのをかの,くさなれは,ねをたつねても,あはれとそおもふ
かつしかの,ままのうらまを,こくふねの,ふなひとさわく,なみたつらしも
かつしかや,むかしのままの,つきはしを,わすれすわたる,はるかすみかな
よそにのみ,おもひおこせし,つくはねの,みねのしらくも,けふみつるかな
からさきの,はまのまさこの,つくるまて,はるのなこりは,ひさしからなむ
おほたけの,みねふくかせに,きりはれて,かかみのやまに,つきそくもらぬ
はるきては,はなとかみらむ,おのつから,くちきのそまに,ふれるしらゆき
はなさかて,いくよのはるに,あふみなる,くちきのそまの,たにのうもれき
はるかなる,みかみのたけを,めにかけて,いくせわたりぬ,やすのかはなみ
いまさらに,さらしなかはの,なかれても,うきかけみせむ,ものならなくに
とくさかる,きそのあさきぬ,そてぬれて,みかかぬつゆも,たまとちりけり
わするなよ,あさまのたけの,けふりにも,としへてきえぬ,おもひありとは
みちのくに,ありといふなる,たまかはの,たまさかにたに,あひみてしかな
あけくれは,まかきのしまを,なかめつつ,みやここひしき,ねをのみそなく
つらきをも,いはてのやまの,たににおふる,くさのたもとそ,つゆけかりける
ふるさとの,ひとにみせはや,しらなみの,きくよりこゆる,すゑのまつやま
こころある,あまのもしほき,たきすてて,つきにそあかす,まつかうらしま
しのふやま,このはしくるる,したくさに,あらはれにける,つゆのいろかな
みやきのの,このしたふかき,ゆふつゆも,なみたにまさる,あきやなからむ
むかしより,なにふりつめる,しらやまの,くもゐのゆきは,きゆるよもなし
かきくらし,たまゆらやます,ふるゆきの,いくへつもりぬ,こしのしらやま
あさことに,いはみのかはの,みをたえす,こひしきひとに,あひみてしかな
ゆふなきに,あかしのとより,みわたせは,やまとしまねを,いつるつきかけ
とものうらの,いそのむろのき,みることに,あひみしいもは,わすられむやは
なみたかき,むしあけのせとに,ゆくふねの,よるへしらせよ,おきつしほかせ
はるあきの,くもゐのかりも,ととまらす,たかたまつさの,もしのせきもり
いもかため,たまをひろふと,きのくにの,ゆらのみさきに,このひくらしつ
もかりふね,おきこきくらし,いもかしま,かたみのうらに,たつかけるみゆ
ときしあれは,さくらとそおもふ,はるかせの,ふきあけのはまに,たてるしらくも
なみよする,ふきあけのはまの,はまかせに,ときしもわかぬ,ゆきそつもれる
あさみとり,かすみわたれる,たえまより,みれともあかぬ,いもせやまかな
わたのはら,なみとひとつに,みくまのの,はまのみなみは,やまのはもなし
みくまのの,うらわのまつの,たむけくさ,いくよかけきぬ,なみのしらゆふ
かせふけは,はままつかえの,たむけくさ,つゆはかりこそ,ぬさとちるらめ
あはちしま,とわたるふねや,たとるらむ,やへたちこむる,ゆふかすみかな
あはちしま,しるしのけふり,みせわひて,かすみをいとふ,はるのふなひと
しかのあまの,けふりやきたて,やくしほの,からきこひをも,われはするかも
しかのあまの,めかりしほやき,いとまなみ,くしけのをくし,とりもみなくに
かすみしく,まつらのおきに,こきいてて,もろこしまての,はるをみるかな
あさちやま,いろかはりゆく,あきかせに,かれなてしかの,つまをこふらむ
やまさとは,ふゆこそことに,かなしけれ,みねふきまよふ,こからしの,とほそをたたく,こゑきけは,やすきゆめたに,むすはれす,しくれとともに,かたをかの,まさきのかつら,ちりにけり,いまはわかみの,なけきをは,なににつけてか,なくさめむ,ゆきたにふりて,しもかれの,くさはのうへに,つもらなむ,それにつけてや,あさゆふに,わかまつひとの,われをまつらむ
いくかへり,おきふししてか,ふゆのよの,とりのはつねを,ききそめつらむ
しきしまや,やまとしまねの,かせとして,ふきつたへたる,ことのはは,かみのみよより,かはたけの,よよになかれて,たえせねは,いまもはこやの,やまかせの,えたもならさす,しつけきに,むかしのあとを,たつぬれは,みねのこすゑも,かけしけく,よつのうみにも,なみたたす,わかのうらひと,かすそひて,もしほのけふり,たちまさり,ゆくすゑまての,ためしとそ,しまのほかにも,きこゆなる,これをおもへは,きみかよに,あふくまかはは,うれしきを,みわたにかかる,うもれきの,しつめることは,からひとの,みよまてあはぬ,なけきにも,かはらさりける,みのほとを,おもへはかなし,かすかやま,みねのつつきの,まつかえの,いかにさしける,すゑなれや,きたのふちなみ,かけてたに,いふにもたらぬ,しつえにて,したゆくみつに,こされつつ,いつつのしなに,としふかく,とをとてみつも,へにしより,よもきのかとに,さしこもり,みちのしはくさ,おいはてて,はるのひかりは,こととほく,あきはわかみの,うへとのみ,つゆけきそてを,いかかとも,とふひともなき,まきのとに,なほありあけの,つきかけを,まつことかほに,なかめても,おもふこころは,おほそらの,むなしきなをは,おのつから,のこさむことも,あやなさに,なにはのことも,つのくにの,あしのしをれの,かりすてて,すさひにのみそ,なりにしを,きしうつなみの,たちかへり,かかるみことの,かしこさに,いりえのもくつ,かきつめて,とまらむあとは,みちのくの,しのふもちすり,みたれつつ,しのふはかりの,ふしやなからむ
やまかはの,せせのうたかた,きえさらは,しられむすゑの,なこそをしけれ
あしねはふ,うきみのほとを,つれもなく,おもひもしらす,すくしつつ,ありへけるこそ,うれしけれ,よにもあらしの,やまかせに,たくふこのはの,ゆくへなく,なりなましかは,まつかえに,ちよにひとたひ,さくはなの,まれなることに,いかてかは,けふはあふみに,ありといふ,くちきのそまに,くちゐたる,たにのうもれき,なにことを,おもひいてにて,くれたけの,すゑのよまても,しられまし,うらみをのこす,ことはたた,とわたるふねの,とりかちの,とりもあへねは,おくあみの,しつみおもへる,こともなく,このしたかくれ,ゆくみつの,あさきこころに,まかせつつ,かきあつめたる,くちはには,よしもあらぬを,いせのうみの,あまのたくなは,なかきよに,ととめむことそ,やさしかるへき
はるははな,あきはもみちの,いろいろに,こころをそめて,すくせとも,かせにとまらぬ,はかなさを,おもひよそへて,なにことも,むなしきそらに,すむつきを,うきよにめくる,ともとして,あはれあはれと,みるほとに,つもれはおいと,なりはてて,おほくのとしは,よるなみの,かかるみくつの,かひなきは,はかなくむすふ,みつのおもの,うたかたさへも,かすならぬかな
つれなさを,おもひあかしの,うらみつつ,あまのいさりに,たくものけふり,おもかけにたつ
くさまくら,ゆふつゆはらふ,たひころも,そてもしほほに,おきあかすよの,かすそかさなる
まつかねに,しもうちはらひ,めもあはて,おもひやる,こころやいもか,ゆめにみゆらむ
かせさむみ,なくかりかねの,こゑにより,うたむころもを,まつやかさまし
うけとむる,そてをしをにて,つらぬかは,なみたのたまの,かすはみてまし
としにあひに,まれにきませる,きみをおきて,またなはたてし,こひはしぬとも
あたなりと,ひともときくる,ものからに,はなのあたりは,すきかてにする
かすならぬ,かかるみくつは,むしろたの,つるのよはひも,なにかいのらむ
かせにゆく,くもをあたにも,われはみす,たれかけふりを,のかれはつへき
たちかはり,たれならすらむ,としをへて,わかくりかへし,ゆきかへるみち
ときはきの,はなれてひとり,みえつるは,たくひなしとや,みをはしるらむ
あなしには,このしまのみや,しろたへの,ゆきにまかへる,なみはたつらむ
おほゐかは,くたすいかたの,ひまそなき,おちくるたきも,のとけからねは
つらけれと,きのふたのめし,ことのはに,けふまていける,みとはしらすや
むつことも,つきてあけぬと,きくからに,しきのはねかき,うらめしきかな
しもふれは,なへてかれぬる,ふゆくさも,いはほかかけの,はこそしをれね
うはたまの,よるはすからに,しきしのふ,なみたのほとを,しるひともなし
ちるもみち,なほしからみに,かけとめよ,たにのしたみつ,なかしはてしと
みなとやま,とことはにふく,しほかせに,ゑしまのまつは,なみやかくらむ
かりころも,しかまのかちに,そめてきむ,のことのつゆに,かへらまくをし
むかしみし,とやまのさとは,あれにけり,あさちかにはに,しきのふすまて
へたてこし,きりはのやまに,はれねとも,ゆくかたしるく,をしかなくなり
はかなしな,をののをやまた,つくりかね,てをたにもきみ,はてはふれすや
こしたもと,いととひかたき,たひのよの,しらつゆはらふ,ききのこのした
このさとと,いはねとしるき,たにみつの,しつくもにほふ,きくのしたえた
きみしのふ,よなよなわけし,みちしはの,かはらぬつゆや,たえぬしらたま
あなこひし,やへのくもちに,めもあはす,くるるよなよな,さわくこころか
あふことよ,いまはかきりの,たひなれや,ゆくすゑしらて,むねそもえける
はつねのひ,つめるわかなか,めつらしと,のへのこまつに,ならへてそみる
としつもる,ひとこそいとと,をしまるれ,けふはかりなる,あきのゆゆくれ
あはれかく,くれぬるあきの,をしさには,たちならふへき,おいのなみかは
いはせやま,たにのしたみつ,よりしのひ,ひとのみぬれは,なかれてそふる
よそなから,おもひしよりも,なつのよの,みはてぬゆめそ,はかなかりける
きみこむと,いひしよことに,すきぬれは,たのまぬものの,こひつつそふる
うめのはな,かきねににほふ,やまさとは,ゆきかふひとの,こころをそみる
をしへおきて,いりにしつきの,なかりせは,にしにこころを,いかてかけまし
のりのため,になふたききに,ことよせて,やかてこのよを,こりそはてぬる
