あらたまの,としもかはらて,たつはるは,かすみはかりそ,そらにしりける
たちはなの,したふくかせや,にほふらむ,むかしなからの,さみたれのそら
さみたれの,そらにもつきは,ゆくものを,ひかりみねはや,しるひとのなき
さみたれは,あかてそすくる,ほとときす,よふかくなきし,はつねはかりに
ほとときす,ききつとやおもふ,さみたれの,くものほかなる,そらのひとこゑ
ほとときす,きくともなしな,あしひきの,やまちにかへる,あけほののこゑ
たかさとに,またてきくらむ,ほとときす,こよひはかりの,さみたれのこゑ
ほとときす,いまいくよをか,ちきるらむ,おのかさつきの,ありあけのころ
けふここに,こゑをはつくせ,ほとときす,おのかさつきも,のこりやはある
くもちより,かへりもやらす,ほとときす,なほさみたるる,そらのけしきに
やよやまた,きなけみそらの,ほとときす,さつきたにこそ,をちかへりつれ
みなつきの,そらともいはし,ゆふたちの,ふるからをのの,ならのしたかけ
くさふかき,あれたるやとの,ともしひの,かせにきえぬは,ほたるなりけり
しらつゆの,たまえのあしの,よひよひに,あきかせちかく,ゆくほたるかな
なにはめか,すくもたくひの,ふかきえに,うへにもえても,ゆくほたるかな
なつのよの,くもちはとほく,なりまされ,かたふくつきの,よるへなきまて
よもすから,やとるしみつの,すすしさに,つきもなつをや,よそにみるらむ
あけぬるか,このまもりくる,つきかけの,ひかりもうすき,せみのはころも
はをしけみ,とやまのかけや,まかふらむ,あくるもしらぬ,ひくらしのこゑ
ゆふくれは,なつよりほかを,ゆくみつの,いはせのもりの,かけそすすしき
なつころも,ゆくてもすすし,あつさゆみ,いそへのやまの,まつのしたかせ
はやきせの,かへらぬみつに,みそきして,ゆくとしなみの,なかはをそしる
よしのかは,かはなみはやく,みそきして,しらゆふはなの,かすまさるらし
かせそよく,ならのをかはの,ゆふくれは,みそきそなつの,しるしなりける
ひさかたの,いはとのせきも,あけなくに,よはにふきしく,あきのはつかせ
きのふには,かはるとなしに,ふくかせの,おとにそあきは,そらにしらるる
かささきの,ゆきあひのはしの,つきなれと,なほわたすへき,ひこそとほけれ
