さほひめの,かすみのころも,ふゆかけて,ゆきけのそらに,はるはきにけり
たちぬるる,そてこそほさね,ほとときす,いまもつれなき,もりのしつくに
しひてまつ,わかこころこそ,ほとときす,きなかぬよりも,つれなかりけれ
ほとときす,いつるあなしの,やまかつら,いまやさとひと,かけてまつらむ
こころとは,みやまもいてし,ほとときす,またれてのみそ,はつねなくなる
ほとときす,われにまさりて,まつひとの,あれはやほかに,はつねなくらむ
まつひとを,なとかたらはて,ほとときす,ひとりしのひの,をかになくらむ
あしひきの,やまほとときす,なきぬなり,またましものを,あけほののそら
しからきの,とやまのすゑの,ほとときす,たかさとちかき,はつねなくらむ
ほかにまつ,なきやしつらむ,ほとときす,われははつねを,きくとおもへと
いかになほ,おとろかれまし,ほとときす,またれぬほとの,はつねなりせは
さとことに,なのるはおなし,ほとときす,きくひとからや,はつねなるらむ
ほとときす,おのかふるこゑ,たちかへり,そのかみやまに,いまなのるらし
まちあかす,さよのなかやま,なかなかに,ひとこゑつらき,ほとときすかな
まちわひて,ねぬよなからも,ほとときす,たたひとこゑは,ゆめかとそきく
ほとときす,くもゐのよその,ひとこゑは,きかてやみぬと,いはぬはかりそ
ほとときす,いまひとこゑを,まちえてや,なきつるかたを,おもひさためむ
わきてまつ,たれにかたらむ,ほとときす,さたかなりつる,よはのひとこゑ
ほとときす,おとはのやまに,ききつとは,まつあふさかの,ひとにかたらむ
なきすてて,いなはのやまの,ほとときす,なほたちかへり,まつとしらなむ
ほとときす,なれもこころや,なくさまぬ,をはすてやまの,つきになくよは
まてしはし,よふかきそらの,ほとときす,またねさめせぬ,ひともこそあれ
ほとときす,すきつるさとの,こととはむ,おなしねさめの,ひともありやと
おのつから,なくもよふかき,ほとときす,ねさめならては,きくひとそなき
ほとときす,あさくらやまの,あけほのに,とふひともなき,なのりすらしも
ほとときす,くものいつくに,なくとたに,しらてあけぬる,みしかよのそら
ほとときす,まれにもたれか,かたらはむ,おのかなさけそ,みにはしらるる
われききて,のちはかはらす,ほとときす,むかしいかなる,ことかたりけむ
むかしおもふ,はなたちはなに,おとつれて,ものわすれせぬ,ほとときすかな
さつきまつ,おのかともとや,ほとときす,はなたちはなに,ことかたるらむ
われならて,むかしをしのふ,ひとやあると,はなたちはなに,ことやとはまし
たちはなに,あやめのまくら,にほふよそ,むかしをしのふ,かきりなりける
かくれぬに,おふるあやめも,けふはなほ,たつねてひかぬ,ひとやなからむ
かけてみよ,きみにこころの,ふかきえに,ひけるかひなき,うきねなれとも
きみかよの,ためしなるまて,なかきねに,ふかきこころの,ほとそみえける
みちのへの,やまたのみしめ,ひきはへて,なかきひつきの,さなへとるなり
さなへとる,たこのをかさを,そのままに,ぬかてそかへる,さみたれのころ
いまはまた,しのふのさとの,しのふにも,あらぬさつきの,ほとときすかな
ほとときす,きけともあかす,たちはなの,はなちるさとの,さみたれのころ
さみたれの,ほともこそふれ,みよしのの,みくまのすけを,けふやからまし
さすさをに,みつのみかさの,たかせふね,はやくそくたす,さみたれのころ
なとりかは,せせにありてふ,うもれきも,ふちにそしつむ,さみたれのころ
たきつせに,おちそふみつの,おとはかは,せくかたもなき,さみたれのころ
さみたれに,ゆふしほむかふ,みなとかは,せかれていとと,みつまさりつつ
なにはえや,しほひのかたの,あしのはも,なほなみこゆる,さみたれのころ
さみたれは,たこのもすそや,くちぬらむ,ころもほすへき,ひましなけれは
たちのほる,けふりもくもに,なりにけり,むろのやしまの,さみたれのころ
やまかつの,あさけのけふり,くもそへて,はれぬいほりの,さみたれのころ
さみたれに,いりぬるいその,くさよりも,くもまのつきそ,みらくすくなき
みしかよは,あしまにやとる,ほともなし,やかていりえの,なつのつきかけ
かせそよく,のきはのたけに,もるつきの,よのまはかりそ,なつもすすしき
あまのとの,あくるほとなき,みしかよに,ゆくかたとほく,のこるつきかけ
あしのやの,かりねのとこの,ふしのまも,みしかくあくる,なつのよなよな
なつのよは,うたたねなから,あけなまし,たたくくひなの,おとせさりせは
さつきやみ,ほくしのまつを,しるへにて,いるさのやまに,ともしをそする
のほりえぬ,ほともしられて,なつかはの,はやせにふくる,よはのかかりひ
かかりひの,ひかりもうすく,なりにけり,たなかみかはの,あけほののそら
つきならて,よかはにさせる,かかりひも,おなしかつらの,ひかりとそみる
むらさめの,つゆおきとめて,つきかけの,すすしくやとる,にはのなつくさ
しけりゆく,したにしみつは,うつもれて,まつてにむすふ,のへのなつくさ
わけわひて,いまもひとめは,かれぬへし,しけるなつのの,くさのふかさに
たまもかる,のしまかさきの,なつくさに,ひともすさへぬ,つゆそこほるる
ほたるとふ,なにはのこやの,ふくるよに,たかぬあしひの,かけもみえけり
ちはやふる,かみたにけたぬ,おもひとや,みたらしかはに,ほたるとふらむ
ふけゆけは,おなしほたるの,おもひかは,ひとりはもえぬ,かけやみゆらむ
たきつせに,きえぬほたるの,ひかりこそ,おもひせくとは,よそにしらるれ
いたつらに,のさはにみゆる,ほたるかな,まとにあつむる,ひとやなからむ
ゆふやみは,おのかひかりを,しるへにて,このしたかくれ,ゆくほたるかな
なつくさの,しけみのはすゑ,くるるより,ひかりみたれて,とふほたるかな
なつくさの,いつれともなき,まかきにも,つゆのいろそふ,とこなつのはな
すすしさを,ほかにもとはす,やましろの,うたのひむろの,まきのしたかせ
ふくかせに,ゆくかたみえて,すすしきは,ひかけへたつる,ゆふたちのくも
なつやまの,ならのはかしは,かせすきて,みねたちのほる,ゆふたちのくも
ひくらしの,なくねにかせを,ふきそへて,ゆふひすすしき,をかのへのまつ
ひくらしの,こゑするやまの,まつかけに,いはまをくくる,みつのすすしさ
あかてなほ,むすひやせまし,つきかけも,すすしくうつる,やまのゐのみつ
まつかけの,いはゐのみつの,ゆふくれを,たつねぬひとや,あきをまつらむ
みつのおもに,すむつきかけの,すすしきは,そらにやあきの,かよひそむらむ
よしのかは,たきついはなみ,ゆふかけて,ふるさとひとや,みそきしつらむ
しきたへの,まくらにのみそ,しられける,またしののめの,あきのはつかせ
ころもての,またうすけれは,あさまたき,みにしむものは,あきのはつかせ
たかそてに,あきまつほとは,つつみけむ,けさはこほるる,つゆのしらたま
すすしさそ,きのふにかはる,なつころも,おなしたもとの,あきのはつかせ
いつしかと,ならすあふきを,をきのはに,やかてすすしき,あきのはつかせ
あききぬと,おもひもあへぬ,をきのはに,いつしかかはる,かせのおとかな
ふきはらふ,まかきのをきの,ゆふつゆを,たもとにのこす,あきのはつかせ
おきそむる,つゆこそあらめ,いかにして,なみたもそてに,あきをしるらむ
あはぬまの,つきひをなにに,なくさめて,たなはたつめの,ちきりまつらむ
まちわたる,あふせへたつな,ひさかたの,あまのかはらの,あきのゆふきり
けふといへは,くるるもおそく,ひこほしの,ゆきあひのはしを,まちわたりつつ
あまのかは,ふかきちきりは,たのめとも,とたえそつらき,かささきのはし
あきことに,とたえもあらし,かささきの,わたせるはしの,なかきちきりは
かささきの,わたせるはしや,たなはたの,はねをならふる,ちきりなるらむ
こきかへる,ならひもかねて,かなしきは,くものころもの,つまむかへふね
まれにあふ,うらみもあらし,たなはたの,たえぬちきりの,かきりなけれは
いくあきも,きみそうつして,みかはみつ,くもゐにたえぬ,ほしあひのかけ
あきことに,たえぬほしあひの,さよふけて,ひかりならふる,にはのともしひ
あきかせも,そらにすすしく,かよふなり,あまつほしあひの,よやふけぬらむ
ひこほしの,ちきりたえせぬ,あきをへて,いくよかさねつ,あまのはころも
かへるさの,そてぬらすらし,かささきの,よりはにかかる,あまのかはなみ
たまほこの,みちのしはくさ,うちなひき,ふるきみやこに,あきかせそふく
あきかせを,おいのねさめに,まちえても,こほれやすきは,なみたなりけり
さのみなと,をきのはわたる,あきかせを,ききもすくさす,そてぬらすらむ
ひとめみぬ,やとのをきはら,おとつれて,あきとはかせの,つてにこそしれ
あきはたた,ものおもへとや,をきのはの,かせもみにしむ,ゆふへなるらむ
ありてうき,をきのはかせの,おとつれは,またれぬものを,あきのゆふくれ
をきのはを,ふきすててゆく,かせのおとに,こころみたるる,あきのゆふくれ
かきほより,をきのしけみを,つたひきて,こすのまさむき,あきかせそふく
ふるさとは,ききしににたる,をきのはの,おとやむかしの,にはのあきかせ
たれかまた,あきかせならて,ふるさとの,にはのあさちの,つゆもはらはむ
いろかはる,のへのあさちに,おくつゆを,すゑはにかけて,あきかせそふく
わけすくる,のちのささはら,さらてたに,とまらぬつゆに,あきかせそふく
ゆふくれは,あさはののらの,つゆなから,こすけみたれて,あきかせそふく
やまふかき,すまひからにや,みにしむと,みやこのあきの,かせをとははや
みつくきの,をかのまくすを,あまのすむ,さとのしるへと,あきかせそふく
おきもあへす,みたれにけりな,しらつゆの,たままくくすに,あきかせそふく
ふくかせに,たへぬくさはの,つゆよりも,あきのこころそ,おきところなき
さらにまた,おいのなみたの,つゆそそふ,いつもなれにし,あきのあはれに
ひとはみな,こころのほかの,あきなれや,わかそてはかり,おけるしらつゆ
うつらなく,のはらのあさち,うちなひき,ゆふつゆもろく,あきかせそふく
なかめわひ,ゆくへもしらぬ,ものそおもふ,やへのしほちの,あきのゆふくれ
ふちはかま,きつつなれゆく,たひひとの,すそののはらに,あきかせそふく
ゆくひとも,とまらぬのへの,はなすすき,まねきかねてや,つゆこほるらむ
たのましな,かせのままなる,はなすすき,こころとまねく,たもとならねは
ゆふくれは,をはなかすゑに,つゆおちて,なひくともなく,あきかせそふく
ゆふされは,あきかせふきて,たかまとの,をはなかうへの,つゆそこほるる
たひひとの,いるののすすき,ほにいてて,そてのかすそふ,あきかせそふく
つゆむすふ,きりのまかきの,をみなへし,みてすきかたき,あきのゆふくれ
あたにのみ,いはれののへの,をみなへし,うしろめたくも,おけるつゆかな
あさまたき,のはらしのはら,わけきつる,わかころもての,はきかはなすり
わけゆかは,たかたもとにも,うつるらむ,わかしめしのの,はきかはなすり
いととまた,をりてそまさる,あきはきの,はなのにしきの,つゆのたてぬき
たちこむる,きりのまかきの,あさあけに,にはのまはきの,はなそしをるる
このあきも,なほたちなれて,はきのとの,はなこそおいの,かさしなりけれ
ふるさとの,にはのあきはき,いまよりや,したはのつゆも,いろかはるらむ
なくしかの,なみたをそへて,こはきはら,はなにもいとと,つゆそあまれる
ゆふされは,のちのかるかや,うちなひき,みたれてのみそ,つゆもおきける
いまもまた,をりをわすれぬ,はなならは,ことしもむすへ,あきのしらつゆ
うかりける,たかならはしに,あきくさの,うつろふころは,しかのなくらむ
ははそはら,いろつきぬらし,やましろの,いはたのをのに,しかそなくなる
ゆふはやま,けふこえくれは,たひころも,すそののかせに,をしかなくなり
くれゆけと,はやましけやま,さはりおほみ,あはてやしかの,つまをこふらむ
ゆふくれは,わきてあはれや,しらるらむ,つままつやまの,さをしかのこゑ
みやこより,たつねてきけは,をくらやま,にしこそあきと,しかもなくなれ
おもひあまる,こころのほとも,きこゆなり,しのふのやまの,さをしかのこゑ
あきののの,をはなにましる,しかのねは,いろにやつまを,こひわたるらむ
みやきのの,このしたつゆに,たちぬれて,いくよかしかの,つまをこふらむ
ほかにまた,のはなけれはや,さをしかの,ここにしもなく,こゑのきこゆる
これもまた,おいのともとそ,なりにける,ききてふるのの,さをしかのこゑ
しかのねを,きくにつけても,すむひとの,こころしらるる,をののやまさと
うかりける,わかみひとつの,ゆふくれを,たくひありとや,しかもなくらむ
たへてなほ,すきけるものを,さをしかの,こゑきかさりし,あきのゆふへは
やまのはに,またるるつきは,いてやらて,まつすみのほる,さをしかのこゑ
こはきはら,よさむのつゆの,おきもせす,ねもせてしかや,つまをこふらむ
かせすさふ,をののしのはら,つまこめて,つゆわけぬるる,さをしかのこゑ
いとふへき,ものとはきかす,やまたもる,いほのねさめの,さをしかのこゑ
おもふこと,のこらぬものは,しかのねを,ききあかしつる,ねさめなりけり
たのむへき,たかたまつさは,なけれとも,そらにまたるる,はつかりのこゑ
ふるさとを,くもゐはるかに,へたてきて,いまそみやこに,かりはなくなる
しきしまや,やまとひこえて,くるかりの,つはさあらはに,すめるつきかけ
あけかたの,くもゐのかりの,こゑはして,とやまのきりに,のこるつきかけ
あけゆけは,みちこそみゆれ,たかせふね,たつかはきりの,そらにきえつつ
かさゆひの,しまたちかくす,あさきりに,いやとほさかる,たななしをふね
あまのすむ,いそへのとまや,たえたえに,きりふきのこす,あきのうらかせ
ふるさとは,きりのまかきの,へたてさへ,あらはにみする,あきのゆふかせ
きりふかき,みやまのさとの,しはのとに,させともうすき,ゆふひかけかな
いてぬれと,ひかりはなほそ,またれける,またくれはてぬ,やまのはのつき
くるるまの,つきまちいつる,やまのはに,かかるくもなく,あきかせそふく
やまのはの,よこきるくもに,うつろひて,いてぬとみゆる,あきのよのつき
くもはらふ,ゆふかせわたる,ささのはの,みやまさやかに,いつるつきかけ
あきかせの,えたふきしをる,このまより,かつかつみゆる,やまのはのつき
かせのおとも,なくさめかたき,やまのはに,つきまちいつる,さらしなのさと
ほともなく,くものこなたに,いてにけり,あらしにむかふ,やまのはのつき
きりはるる,ふしみのくれの,あきかせに,つきすみのほる,をはつせのやま
すみのほる,つきのあたりは,そらはれて,やまのはとほく,のこるうきくも
みねたかき,まつのひひきに,そらすみて,あらしのうへに,つきそなりゆく
おもふこと,ありてやみまし,あきのつき,くもふきはらふ,かせなかりせは
あきかせに,ふはのせきやの,あれまくも,をしからぬまて,つきそもりくる
わきてなほ,ひかりをそへて,てるつきの,かつらのさとに,あきかせそふく
あまのかは,くものなみなき,あきのよは,なかるるつきの,かけそのとけき
はつせかは,ゐてこすなみの,おとよりも,さやかにすめる,あきのよのつき
あきのよの,つきもなほこそ,すみまされ,よよにかはらぬ,しらかはのみつ
またれつる,あきはこよひと,しらかはの,なかれもきよく,すめるつきかけ
まののうら,よふねこきいつる,おとふけて,いりえのなみに,つきそさやけき
あきのよは,ひらのやまかせ,さえねとも,つきにそこほる,しかのうらなみ
すみのえの,つきにかみよの,こととへは,まつのこすゑに,あきかせそふく
くもはらふ,なこのいりえの,しほかせに,みなとをかけて,すめるつきかけ
くもりなく,つきもれとてや,かはくちの,せきのあらかき,まとほなるらむ
きよみかた,くもをはとめぬ,うらかせに,つきをそやとす,なみのせきもり
もしほやく,けふりもたえて,まつしまや,をしまのなみに,はるるつきかけ
しほかせの,なみかけころも,あきをへて,つきになれたる,すまのうらひと
もしほやく,けふりなたてそ,すまのあまの,ぬるるそてにも,つきはみるらむ
つきすめは,あまのもしほの,けふりたに,たちものほらす,うらかせそふく
いつかたに,しほやくけふり,なひくらむ,そらふくかせは,つきもくもらす
つきのかけ,しきつのうらの,まつかせに,むすふこほりを,よするなみかな
うらひとの,こほりのうへに,おくあみの,しつむそつきの,しるしなりける
ひさかたの,くもゐをかけて,おきつかせ,ふきあけのはまは,つきそさやけき
あらしふく,いこまのやまの,くもはれて,なかゐのうらに,すめるつきかけ
かせのおとも,こころつくしの,あきやまに,このまさひしく,すめるつきかけ
ふきわくる,あきかせなくは,いかにして,しけきこのまの,つきはもらまし
つのくにの,いくたのもりに,ひとはこて,つきにこととふ,よはのあきかせ
