さほひめの,かすみのころも,ふゆかけて,ゆきけのそらに,はるはきにけり
よそにたに,おもひもいてし,はしたかの,のもりのかかみ,かけもみえねは
わすらるる,わかみをあきの,つらさとて,つきさへかはる,かけそかなしき
たのめこし,ひとのこころは,かはれとも,われやわするる,やまのはのつき
とはすなる,ひとのかたみと,なくさめむ,かはらてやとれ,そてのつきかけ
いとひしも,いまはよそなる,あかつきを,かはらぬねにや,とりはなくらむ
みのうへの,わかれをしらぬ,あかつきも,なほとりのねに,ぬるるそてかな
わすれすよ,あかぬなこりに,たちわかれ,みしをかきりの,よこくものそら
きぬきぬの,あかつきはかり,うきものと,いひしもいまは,むかしなりけり
つらかりし,あかつきことの,わかれたに,みになきものと,いまはなりぬる
さてもその,ありしはかりを,かきりとも,しらてわかれし,われやはかなき
おもかけの,うきみにそはぬ,なかならは,われもやひとを,わすれはてまし
わすらるる,ならひありとは,しりなから,やかてとまては,おもはさりしを
なほさりに,おもひいてても,いつまてか,とはるるほとの,ちきりなりけむ
うきなから,おとろかさはや,いまさらに,おもひいつへき,ちきりならねは
またはよも,おもひもいてし,はなすすき,かれにしなかは,ほのめかすとも
よひよひに,かよひしみちそ,たえにける,うきみをなかの,せきもりにして
いはみかた,わかみのよそに,こすなみの,さのみやとはに,かけてこふへき
しらなみの,かけてもひとに,ちきりきや,ことうらにのみ,みるめかれとは
わすれゆく,ひとのちきりは,かりこもの,おもはぬかたに,なにみたれけむ
そのかみに,たちかへりてや,いのらまし,またもあふひの,なをたのみつつ
かけてなほ,たのむもかなし,あふひくさ,いまはよそなる,そのなはかりに
あたなりと,はなのなたてに,いひなして,うつろふひとの,こころをそみる
めくりあふ,つきひをそらに,かそへても,はなにそかかる,いのちなかさは
めくりあふ,うきみにはるは,かはれとも,はなにはかかる,いろもみえけり
つきくさの,はなのこころや,うつるらむ,きのふにもにぬ,そてのいろかな
つきくさの,はなすりころも,かへすよは,うつろふひとそ,ゆめにみえける
かたみこそ,あたのおほのの,はきのつゆ,うつろふいろは,いふかひもなし
うつりゆく,こころのいろの,あきそとも,いましらすけの,まののはきはら
あきかせに,なひくあさちの,いろよりも,かはるはひとの,こころなりけり
いろかはる,こころのあきの,ときしもあれ,みにしむくれの,をきのうはかせ
なかなかに,おもひもいれぬ,みのあきを,もみちよなにの,いろにみすらむ
うきみには,いかにちきりて,ことのはの,しくれもあへす,いろかはるらむ
ちきりおきし,こころこのはに,あらねとも,あきかせふけは,いろかはりけり
むすはすよ,しもおきまよふ,ふゆくさの,かるるをひとの,ちきりなれとは
これもまた,よのならひそと,おもはすは,かはるつらさに,なからへもせし
かはらしと,ちきりしままの,なかならは,いのちののちや,ひとにわかれむ
くやしきに,ぬるるたもとの,さよころも,おもひかへすも,かひなかりけり
いまはたた,なれてすきにし,つきひさへ,おもひいてては,くやしかりけり
としつきの,つもれはとても,こひしさの,なとわすられぬ,こころなるらむ
いまそしる,わすられさりし,としつきは,なにのつらさに,ものおもひけむ
あはぬまを,うらみしころの,こひしきは,いかになりぬる,なかのちきりそ
いまはさは,なににいのちを,かけよとて,ゆめにもひとの,みえすなるらむ
おもひねの,こころのうちを,しるへにて,むかしのままに,みるゆめもかな
いたつらに,としのみこえて,あふさかの,せきはむかしの,みちとなりにき
やすらひに,いてにしひとの,かよひちを,ふかきのはらと,けふはみるかな
いはさりき,わかみふるやの,しのふくさ,おもひたかへて,たねをまけとは
かれはてし,ひとはむかしの,わすれくさ,わすれすそてに,のこるつゆかな
つらかりし,こころのあきも,むかしにて,わかみにのこる,くすのうらかせ
おもへたた,のへのまくすも,あきかせの,ふかぬゆふへは,うらみやはする
むかしみし,ふるののさはの,わすれみつ,なにいまさらに,おもひいつらむ
われなから,つらくなるみの,しほひかた,うらみしすゑそ,とほさかりぬる
おもふには,たくひなるへき,いせのあまも,ひとをうらみぬ,そてそぬれける
とははやな,うらみなれたる,さとのあまも,ころもほすまは,なきおもひかと
いつまての,つらさなりけむ,からころも,なかにへたてし,よはのうらみは
つらくとも,さのみはいかに,からころも,うきみをしらて,ひとをうらみむ
やまかつの,しつはたおひの,いくかへり,つらきうらみに,むすほほるらむ
ことわりと,こひしきまては,おもひしに,つらきにたにも,ぬるるそてかな
うらみこし,こころもいまは,なきものを,たたこひしさの,ねのみなかれて
うらみての,のちさへひとの,こひしきや,つらさにこりぬ,こころなるらむ
いかにせむ,おもひたえたる,このころは,うらみしほとの,なくさみもなし
いとはるる,うきみのほとを,しのはすは,つらきたくひも,ひとにとはまし
みをつまは,おもひしらすも,なからまし,ひとはうらみに,ならはさりけり
われさへに,わするとひとや,おもふらむ,あまりになれは,いはぬつらさを
ひとすちに,みをうらむへき,ちきりかな,ひとやはいひし,ものおもへとは
いまはまた,いかにいはまし,うらみての,のちさへつらき,ひとのこころを
うきをなほ,しのふわかみの,つれなさは,ひとのつらさに,おとりやはする
ひとつてに,いへともいとと,つれなきは,わかおもふほとや,うらみさるらむ
はかなくも,おもひもすてぬ,わかみかな,うらむるまての,たのみのこして
つきもせす,うらみさらまし,うきひとに,わすらるるみの,おもひしられは
よしさらは,うらみははてし,かすならぬ,みのとかにこそ,おもひなすとも
ひとをのみ,なほうらむとや,おもふらむ,みをかこちても,おつるなみたを
つらくとも,これをかきりと,いひやらむ,けにみをすては,ひとやをしむと
いのちたに,つらさにたへぬ,みなりせは,このよなからは,うらみさらまし
あふことに,かへしいのちの,ままならは,ひとのつらさも,またはなけかし
よしさらは,ひとのつらさも,ありてうき,いのちのとかと,なしてうらみし
さのみやは,つらさにたへて,なからへむ,かきりあるよの,いのちなりとも
うらむとも,せめてしらする,なかならは,あはれをかくる,をりもあらまし
とはれぬを,うしともせめて,いひてまし,たたなほさりの,つらさなりせは
かくはかり,おもふにまけぬ,つらさこそ,みをしるなかも,うらみられけれ
つらしとて,おもひすつるも,かなはぬを,やすくそひとの,わすれはてける
としつきは,あはぬうらみと,おもひしに,うらみてあはす,いつなりにけむ
ゆくすゑを,ちきりしよりそ,うらみまし,かかるへしとも,かねてしりせは
うらみても,なほおなしよに,ありふるや,つらさをしらぬ,いのちなるらむ
うきなから,なれぬるものは,としつきの,つらさをかこつ,なみたなりけり
いくとせの,かさしをりけむ,いにしへの,みわのひはらの,こけのかよひち
いくよとも,しられぬものは,しらくもの,うへよりおつる,ぬのひきのたき
くむひとは,またいにしへに,なりぬとも,のなかのしみつ,おもひわするな
ありしよを,こふるなみたの,つゆそおく,いまもさかのの,みちのささはら
すみよしの,まつふくかせも,かはらねは,きしうつなみや,むかしなるらむ
いかにして,おもふかたには,かよふらむ,かせにしたかふ,あまのつりふね
くれぬとて,わかすむかたに,かへるなり,あしやのおきの,あまのつりふね
あまのすむ,さとのしるへや,これならむ,くるれはみゆる,いさりひのかけ
かせふけは,なみこすいその,いはねまつ,いくしほそむる,みとりなるらむ
ねのひとて,けふひきそむる,こまつはら,こたかきまてを,みるよしもかな
かけしけき,そのふのたけの,そのままに,こそふりつみし,ゆきそのこれる
きえのこる,ゆきにつけてや,わかやとを,はなよりさきに,ひとのとふらむ
いろかをも,しるひとみよと,さくうめの,はなのこころに,まかせてそをる
いろかをも,しるひとならぬ,わかために,をるかひなしと,はなやおもはむ
こころある,ひとはとひこて,わかそてに,うめかかをしき,はるのゆふかせ
あけぬとて,たかなはたたし,かへるかり,よふかきそらを,なにいそくらむ
まよはしな,こしちのそらは,かすむとも,かへりなれたる,はるのかりかね
しかのあまの,つりするそては,みえわかて,かすむなみちに,かへるかりかね
ゆくさきも,あともかすみの,なかそらに,しはしはみえて,かへるかりかね
よをすつる,みのかくれかの,ふるさとに,おとさへしのふ,にはのはるさめ
われはかり,まつとはいはし,やまさくら,はなもうきみを,いとひもそする
くもとたに,さたかにはみす,やまさくら,とほきこすゑや,なほかすむらむ
ありとたに,ひとにしられぬ,やとなれは,はなさきぬとも,たれかとひこむ
あはれいまは,みをいたつらの,なかめして,わかよふりゆく,はなのしたかけ
おもひやれ,おいてなくさむ,はなたにも,しをるるけさの,あめのつらさを
さくはなの,さかりをみても,やまかけに,ふりはてぬへき,みをなけくかな
なかめつつ,わかみもふりぬ,やまさくら,よそちあまりの,はるをかさねて
としことに,はなはさけとも,ひとしれぬ,わかみひとつそ,はるなかりける
いたつらに,ちりなはをしき,はなゆゑに,わかためならす,ひとをまつかな
ちりはてて,のちはなにせむ,やまさとの,はなみよとてそ,ひとはまたれし
つらしとて,そむくうきよの,ほかまても,はなそわかみを,なほさそひける
いのちをも,をしむこころや,なからまし,はなにこのよを,おもひおかすは
さくらはな,ちらすはやかて,みよしのの,やまやいとはぬ,すみかならまし
いくはるも,わかたつそまに,いほしめて,やまのかひある,はなをこそみめ
はるのみやに,つかへしままの,としをへて,いまはくもゐの,はなをみるかな
ここのへに,いろをかさねて,にほふらし,はなもときしる,みよにあひつつ
いまそみる,きみかこころも,をりをえて,はるのときしる,はなのひとえた
としことの,みゆきをちきる,はるなれは,いろをそへてや,はなもさくらむ
あはれとて,はなみしことを,かそふれは,ここらのとしの,はるそへにける
いまよりの,こころかよはは,おもひいてよ,かならすはなの,をりならすとも
ちよくならて,またほりうつす,やともかな,ためしにゆるせ,やへのさくらき
さくらはな,をりしるひとの,やとにうゑて,いくめくりとも,はるそかきらぬ
さけはかつ,ちるもたえまの,みえぬかな,はなよりほかの,いろしなけれは
さくはなの,こころつからの,いろをたに,みはてぬほとに,はるかせそふく
このはるも,またちるはなを,さきたてて,をしからぬみの,なほのこりつつ
なからへて,いけらはのちの,はるとたに,ちきらぬさきに,はなそちりぬる
ひととはぬ,やとのさくらの,いかにして,かせにはつらく,しられそめけむ
さきなはと,はなにたのめし,ひとはこて,とふにつらさの,はるかせそふく
あめはるる,くものかへしの,やまかせに,しつくなからや,はなのちるらむ
みなかみや,はなのこかけを,なかれけむ,さくらをさそふ,はるのかはなみ
ちりやすき,はなのこころを,しれはこそ,あらしもあたに,さそひそめけむ
ちりぬれは,ふくもこすゑの,さひしさに,かせもやはなを,おもひいつらむ
なみたにそ,またやとしつる,はるのつき,うきはかはらぬ,もとのみにして
めくりあふ,はるはいそちの,おいかよに,ことわりすきて,かすむつきかな
かすむたに,こころつくしの,はるのつき,くもれといのる,よはもありけり
なはしろの,はるのかとたに,せくみつの,みちあるかたに,みをやまかせむ
うきことも,いふにそつらき,やまふきは,こころありける,はなのいろかな
わすれめや,かすかののへに,くろきもて,つくれるやとの,のきのふちなみ
かすかやま,こたかきみねの,ふちのはな,すゑはもはるに,あはさらめやは
はなみむと,ちきりしひとを,まつほとに,あやなくはるの,くれにけるかな
ちりのこる,のちのやよひの,やへさくら,かさなるはるの,はなとこそみれ
なれてなほ,あかぬなこりの,かなしきは,かさなるはるの,わかれなりけり
かみやまに,そのなをかけよ,ふたはくさ,みつのくらゐの,あとをたつねて
かけていのる,しるしあらせよ,あふひくさ,かさせるあとは,かみもわすれし
まつことを,ならひになして,ほとときす,なくへきころも,つれなかりけり
わひひとの,こころにならへ,ほとときす,うきにそやすく,ねはなかれける
ありあけの,つきにもなかす,ほとときす,つれなきほとの,かきりしらせて
みしかよも,なほねさめして,ほとときす,はつねはおいの,のちにこそきけ
としをへて,わかかみやまの,ほとときす,おなしはつねを,いまもきくかな
ほとときす,ひとにかたらぬ,をりにしも,はつねきくこそ,かひなかりけれ
なくかたに,まつあくかれて,ほとときす,こゆるやまちの,すゑもいそかす
いつまてか,あはれときかむ,ほとときす,おもへはたれも,ねこそなかるれ
いろふかき,なみたをかりて,ほとときす,わかころもての,もりになくなり
いつまてか,あやめはかりの,なかきねを,なみたもしらぬ,そてにかけけむ
いまもまた,さつきまちける,たちはなに,むかしわすれぬ,ほとはしらなむ
いへのかせ,かはらすともに,つたへきて,むかしのあとに,にほふたちはな
みつまさる,よとのかはをさ,さすさをの,すゑもおよはぬ,さみたれのころ
かきくらし,たたよふくもの,ゆくかたも,みえすなりぬる,さみたれのころ
かせわたる,あしのすゑはに,おくつゆの,たまらすみえて,とふほたるかな
こひしさの,みよりあまれる,おもひをは,よはのほたるに,よそへてもみよ
われはまた,ひるもおもひの,きえはこそ,よはのほたるに,みをもたくへめ
おもふこと,むなしきからに,うつせみの,こかくれはつる,みこそつらけれ
いととまた,ひかりやそはむ,しらつゆに,つきまちいつる,ゆふかほのはな
かせのおとは,またふきかへぬ,くさのはの,つゆにそあきの,いろはみえける
なれぬれは,つらきこころも,ありとてや,たなはたつめの,まれにあふらむ
わすられぬ,むかしのあきを,おもひねの,ゆめをはのこせ,にはのまつかせ
つゆのみの,おきところこそ,なかりけれ,のにもやまにも,あきかせそふく
むすひおく,つゆもしつくも,あたしのの,よもきかもとを,はらふあきかせ
よなよなの,なみたしなくは,こけころも,あきおくつゆの,ほとはみてまし
わかそての,たくひとみるも,かなしきは,おひてつゆけき,もりのしたくさ
いまはよに,たれかはわれを,まねくへき,なさけありける,はなすすきかな
ひとそうき,もとのこころは,かはれとも,ふるえのはきは,いまもさくなり
なににわか,おいのなみたの,かかるらむ,ふるえのはきも,つゆそこほるる
としをへて,もろくなりゆく,なみたかな,いつかかきりの,あきのゆふくれ
せきのとを,ささてもみちや,へたつらむ,あふさかやまの,あきのゆふきり
あめはるる,たかねはそらに,あらはれて,やまもとのほる,ふしのかはきり
すみなれし,つきはむかしの,あきかせに,ふるさとさむき,にはのあさちふ
われなから,いつをなみたの,たえまとて,みのほとしらす,つきをみるらむ
いかなれは,なかむるそての,しくるらむ,くももかからぬ,やまのはのつき
なさけとや,なみたのかかる,そてにしも,なかきよすから,つきやとるらむ
おもふこと,けになくさむる,つきならは,こけのたもとは,あきやほさまし
みのうさの,わするるつきの,かけならは,あきのこころは,なくさみなまし
あきをへて,なれゆくつきの,ますかかみ,つもれはおいの,かけをみるかな
なからへて,いまいくとせか,つきをみむ,ことしもあきは,なかはすくなり
さたかなる,ゆめかうつつか,ななそちの,あきをまちえて,みつるつきかけ
わすれすよ,おもひやいつる,くもゐにて,ともにみしよの,あきのつきかけ
われのみや,かけもかはらむ,あすかかは,ふちせもおなし,つきはすめとも
おほかたの,なこそふけひの,うらならめ,かたふかてすめ,あきのよのつき
いるまても,つきみむとてそ,すみそめし,なにおふあきの,にしのやまさと
つれなくも,めくりあひぬる,いのちかな,むそちのあきの,ありあけのつき
あきのひの,やまのはとほく,なるままに,ふもとのまつの,かけそすくなき
みやこひと,おもひおこせよ,こけふかき,まつのとほその,あきのあはれを
きかさりし,あらしのかせも,みにそひぬ,いまはすみかの,あきのやまさと
あきふかく,なりゆくままに,ころもうつ,おとはのさとや,よさむなるらむ
わかいほは,あらしのままに,すみなして,つゆもしくれも,もらぬまそなき
かねてより,そてもしくれて,すみそめの,ゆふへいろます,やまのもみちは
よをのこす,おいのなみたの,わかそてに,なほほしかたく,ふるしくれかな
としをへて,ふりぬるみとは,しるものを,なにゆゑそての,またしくるらむ
よそにみし,たかねのくもの,いつのまに,このさとかけて,しくれきぬらむ
もみちはの,あけのそほふね,こきよせよ,ここそとまりと,きみもみるまて
ふきたつる,このはのしたも,このはにて,かせたにわけぬ,たにのかよひち
ふゆかはの,こほりのひまを,ゆくみつの,またよとむこそ,このはなりけれ
うすこほり,あやふきみとは,おもへとも,ふみみてよをも,わたりけるかな
わかのうらや,いつよかさねて,はまちとり,ななたひおなし,あとをつけつる
わかよには,あつめぬわかの,うらちとり,むなしきなをや,あとにのこさむ
うらちとり,なにはのことの,たちゐにも,おいのなみには,ねそなかれける
あはれにも,おいのねさめの,ともちとり,わかよふけぬる,つきになくなり
いかなれは,くものうへには,ちりなから,にはにのみふる,ゆきをみるらむ
こころさし,ふかくもにはに,つもりなは,なとかくもゐの,ゆきもみさらむ
きえもせて,としをかさねよ,いまもよに,ふりてのこれる,やとのしらゆき
きえのこる,あととてひとに,とはるるも,なほたのみなき,にはのしらゆき
すききつる,あとにまかせむ,かすかのの,おとろのみちは,ゆきふかくとも
はるはまつ,とはれしものを,やまふかみ,ゆきふりにける,みこそつらけれ
いまさらに,なにとかゆきの,うつむらむ,わかみよにふる,みちはたえにき
ふりまさる,ゆきにつけても,わかみよに,うつもれてのみ,つもるとしかな
ふゆさむみ,あらしになひく,すみかまの,けふりにましる,みねのうきくも
あすしらぬ,よのはかなさを,おもふにも,をしかるましき,としのくれかは
なにとまた,くれゆくとしを,いそくらむ,はるにあふへき,みともしらぬに
わかみよに,うきもはてある,としならは,ちかつくはるも,いそかれやせむ
ほともなく,いそちのなみも,こゆるきの,いそきなれたる,としのくれかな
なかめつる,こころのやみも,はるはかり,かつらのさとに,すめるつきかけ
よもすから,ひとりまちいてて,なかむれは,うきことのみそ,ありあけのつき
いつかわれ,なみたにぬるる,かけならて,そてよりほかの,つきをみるへき
おもひやれ,さらてもぬるる,こけのそて,あかつきおきの,つゆのしけさを
なれきつる,あかつきおきの,かねのおとも,ひとよはかりに,なるそかなしき
いつまてと,きくにつけても,かなしきは,おいのねさめの,あかつきのかね
しつかなる,ねさめよふかき,あかつきの,かねよりつつく,とりのこゑこゑ
かくしこそ,ちとせもまため,まつかえの,あらししつかに,すめるやまさと
みねのあらし,ふもとのかはの,おとをのみ,いつまてともと,あかしくらさむ
みとせへし,なちのおやまの,かひあらは,たちかへりみむ,たきのしらなみ
おほはらや,おほろのしみつ,くみてしれ,すますこころも,としへぬるみを
わするなよ,なかれのすゑは,わかるとも,ひとつみやまの,たにかはのみつ
すまはまた,すまれこそせめ,やまさとは,かけひのみつの,あるにまかせて
しつかなる,くさのいほりの,あめのよを,とふひとあらは,あはれとやみむ
よのうきに,くらふるときそ,やまさとは,まつのあらしも,たへてすまるる
さひしさも,たれにかたらむ,やまかけの,ゆふひすくなき,にはのまつかせ
きくままに,いかにこころの,すみぬらむ,むかしのあとの,みねのまつかせ
とはるるや,むかしのあとの,かひならむ,わかやまさとの,にはのまつかせ
まつかせの,おとをきかてや,やまさとを,うきよのほかと,ひとはいひけむ
とへかしな,くものころもを,かさねても,あらしさむけき,みねのいほりを
すみわひは,たちかへるへき,ふるさとを,へたてなはてそ,みねのしらくも
すみそめし,あとなかりせは,をくらやま,いつくにおいの,みをかくさまし
やまさとに,よをいとはむと,おもひしは,なほふかからぬ,こころなりけり
おもふには,ふかきやまちも,なきものを,こころのほかに,なにたつぬらむ
とはれねは,よのうきことも,きこえこす,いとふかひある,やまのおくかな
よのうさを,なけくこころの,みにそはは,やまのおくにも,すまむものかは
おもひいる,よしののおくも,いかならむ,うきよのほかの,やまちならねは
よをうしと,おもひもいれぬ,つきたにも,すみけるものを,やまのおくには
ちきりあらは,またやたつねむ,よしのやま,つゆわけわひし,すすのしたみち
いまはよし,うきよのさかと,しりぬれは,またことやまに,やとはもとめし
うきことの,きこえこさらむ,やまかけを,たれにとひてか,みをかくさまし
さひしさも,みのならはしの,やまさとに,たちかへりては,すむこころかな
よをいとふ,やまのおくにも,すまれぬや,わかみにそへる,こころなるらむ
さひしさも,さすかなれゆく,しはのとは,しはしそひとの,こぬもまたれし
さととほき,やとのましはの,ゆふけふり,たたぬもなほそ,さひしかりける
やまふかみ,むかしやひとの,かよひけむ,こけのしたなる,たにのかけはし
おもひいつる,ひとはありとも,たれかこの,こけふりにける,みちをたつねむ
まよはしな,かよひなれたる,やまひとの,つまきのみちは,しをりせすとも
おろかなる,こころはなほも,まよひけり,をしへしみちの,あとはあれとも
おもひのみ,みちゆくしほの,あしわけに,さはりもはてぬ,わかのうらふね
おくれても,あしわけをふね,いりしほに,さはりしほとを,なにかうらみむ
あしはらの,あととはかりは,しのへとも,よるかたしらぬ,わかのうらなみ
わかのうらに,ひとりおいぬる,よるのつるの,このためおもふ,ねこそなかるれ
わかのうらに,こをおもふとて,なくつるの,こゑはくもゐに,いまそきこゆる
たらちねの,おやのいさめの,かすかすに,おもひあはせて,ねをのみそなく
つたへおく,ことのはにこそ,のこりけれ,おやのいさめし,みちしはのつゆ
いかにして,まとにとしへし,ふえたけの,くもゐにたかく,ねをつたへけむ
いへのかせ,ふくとはすれと,ふえたけの,よよにおよはぬ,ねそなかれける
かせさわく,あらいそなみに,ひくあみの,おきところなき,みをうらみつつ
あひみてし,のちはいかこの,うみよりも,ふかしやひとを,おもふこころは
たのむこと,ふかしといはは,わたつうみも,かへりてあさく,なりぬへきかな
きえやらて,なみにたたよふ,うたかたの,よるへしらぬや,わかみなるらむ
よとむなよ,さほのかはみつ,むかしより,たえぬなかれの,あとにまかせて
いなふねも,のほりかねたる,もかみかは,しはしはかりと,いつをまちけむ
のほりえぬ,よとのいかたの,つなてなは,このせはかりを,ひくひともかな
うきになほ,たへてつれなき,すゑのまつ,こゆるなみをも,えこそうらみね
たまほこの,みちあるみよの,くらゐやま,ふもとにひとり,なほまよふかな
そのかみに,たのめしことの,たかはねは,なへてむかしの,よにやかへらむ
ちきりこし,こころのすゑは,しらねとも,このひとことや,かはらさるらむ
しらさりき,かしひのかさし,としふりて,すきにしあとに,かへるへしとは
くりかへし,なほうきものは,かすならて,わかみおいその,もりのしめなは
みひとつの,うきにかきらぬ,このよそと,おもひなせとも,ぬるるそてかな
おもふとも,それによるへき,よならぬを,なになけかるる,こころなるらむ
ことわりと,おもひなすへき,こころさへ,みをわすれては,なほなけくかな
さりともと,はなかくよをも,たのむかな,あるへきほとは,みゆるわかみを
なかなかに,うきもつらきも,しられすは,こころのままに,よをやすくさむ
とにかくに,われからものを,おもふかな,みよりほかなる,こころならねは
おほかたの,よをもうらみし,こころたに,うきみにかなふ,ならひなりせは
うしといふも,たたおほかたの,ならひとや,こころをしらぬ,ひとはおもはむ
よしさらは,あるにまかせて,すくしてむ,おもふにかなふ,うきよならねは
おろかなる,こころをいかに,なくさめて,うきはむくひと,おもひわかまし
うしとても,みにかこつへき,かたそなき,このよひとつの,むくひならねは
ゆくすゑの,なにかゆかしき,こしかたに,うきみのほとは,おもひしりにき
なからへは,うきことやなほ,かすそはむ,むかしもいまも,ものそかなしき
よのなかに,なほもつれなく,なからへて,うきをしらぬは,いのちなりけり
ゆくすゑも,さこそとおもへは,あらましの,なくさめたにも,なきわかみかな
せめてわか,みのなくさめの,なきままに,うきためしをそ,いまはかそふる
よのなかを,うらむるとしは,なけれとも,みのうきときそ,なみたおちける
うきことを,おもひつつけて,ねぬるよは,ゆめのうちにも,ねそなかれける
いつとても,かはらすゆめは,みしかとも,おいのねさめそ,そてはぬれける
ものをのみ,おもひなれたる,おいかみに,ねさめせられぬ,あかつきもかな
はかなくも,わかあらましの,ゆくすゑを,まつとせしまに,みこそおいぬれ
みてもまた,ありしにもにぬ,おもかけや,おいをますみの,かかみなるらむ
いかにせむ,かかみのそこに,みつはくむ,かけもむかしの,ともならなくに
あくかれて,よのうきたひに,ととまらぬ,こころのともや,なみたなるらむ
にこりえの,あしまにやとる,つきみれは,けにすみかたき,よこそしらるれ
みちのへに,しけるをささの,ひとふしも,こころとまらぬ,このよなりけり
こころなき,いつみのそまの,みやきたに,ひくひとあれは,くちはてぬよを
あつさゆみ,こころのひくに,まかせすは,いまもすくなる,よにやかへらむ
あちきなく,おもひしらるる,よのうさも,みのかすならは,なほやなけかむ
なからへて,いかになるへき,はてそとも,われさへしらぬ,みのゆくへかな
なにことに,しはしうきみの,わすられて,おもひなくさむ,こころなるらむ
よをうしと,なになけきけむ,そむかれぬ,こころそみをは,おもはさりける
よのなかの,うきにつけても,つらからし,みをひとかすに,おもひなさすは
とにかくに,おもひしことの,かはるよは,わかこころとて,たのみやはする
ありへても,たかいとふへき,うきよとて,なほみをすてぬ,こころなるらむ
こころから,うきをしのひて,いとはぬや,なけくへきみの,むくひなるらむ
よのひとの,かすにもあらは,いかならむ,うきにたになほ,そむかれぬみは
いとはしな,さてもなからむ,のちはまた,こひしかるへき,このよならすや
いつかわれ,そむかさりけむ,いにしへを,くやしきものと,おもひしるへき
あはれなと,みをうきものと,いとひても,なほすてやらぬ,こころなるらむ
そむくへき,ことわりしらぬ,こころこそ,うきよにみをは,をしみとめけれ
うきよとて,そむきはてても,いかかせむ,あらましにたに,かはるこころを
よのなかを,うしといひても,かひそなき,そむかれぬもの,こころよわさに
まつことの,あるたにさため,なきものを,なにをたのむと,すくすなるらむ
あはれいつ,わかあらましの,かきりにて,そむきはつへき,うきよなるらむ
いかかせむ,いとふともなほ,よのなかを,なけくこころの,もとのみならは
いとへとも,なほなからふる,いのちこそ,うきよにのこる,つらさなりけれ
いのちをは,いかなるひとの,をしむらむ,うきにはいける,みこそつらけれ
うしとのみ,いとふさへこそ,あはれなれ,あるものとやは,みをおもふへき
はかなくも,おもひすててし,おなしみを,よにありかほに,なほなけくらむ
なみたこそ,こころもしらね,すてしより,なにのうらみか,みにはのこらむ
つかへこし,よよのむかしの,なこりとて,のこるはかりに,みをやかこたむ
いかかせむ,せきのふちかは,よよをへて,つかへしあとに,うきせのこさは
よよかけて,おもひをくらの,やまみつの,いかににこれは,すますなりけむ
やまみつに,ふたたひかけを,やとしても,にこらぬよこそ,みにしられけれ
みちあれと,なにはのことも,おもへとも,あしわけをふね,すゑそとほらぬ
むくふへき,よのことわりは,おもへとも,たみのちからを,たすけやはする
ふしておもひ,おきてもなけく,よのなかに,おなしこころと,たれをたのまむ
わすれすと,たれにいひてか,なくさめむ,こころにうかふ,むかしかたりを
むかしとて,かたるはかりの,とももなし,みののをやまの,まつのふるきは
おいてみる,わかかけのみや,かはるらむ,むかしなからの,ひろさはのいけ
おもひいての,なきひとたにも,いにしへを,しのふならひは,ありとこそきけ
かくてまた,うきみのはての,いかならむ,すきにしかたは,おもひてもなし
たちかへり,またいにしへを,こふるかな,たのみしすゑの,うきにつけては
たれもみな,むかしをしのふ,ことわりの,あるにすきても,ぬるるそてかな
いやしきも,よきもさかりの,すきぬれは,おいてこひしき,むかしなりけり
としつきの,へたつるままに,こしかたの,わすられはせて,なほそこひしき
おもひいても,なきいにしへを,しのふこそ,うきをわするる,こころなるらめ
ひとはいさ,こひしからてや,こしかたを,むかしとはかり,おもひいつらむ
しのふへき,ならひとおもふ,ことわりに,すきてこひしき,むかしなりけり
そのことの,ゆゑとはなしに,こひしきは,わかみにすきし,むかしなりけり
なからへて,わかみにすきし,むかしをも,こころならては,たれかしのはむ
まとろまぬ,うつつなからに,みるゆめは,おもひつつくる,むかしなりけり
あはれにも,みしよにかよふ,ゆめちかな,まとろむほとや,むかしなるらむ
みしことを,ねさめのとこに,おとろけは,おいのまくらの,ゆめそみしかき
いくかへり,あきのよなかき,ねさめにも,むかしをひとり,おもひいつらむ
ものおもはて,なかめしあきの,ありかほに,なにとむかしの,つきをこふらむ
いたつらに,かくてはひとり,みさらまし,こよひのつきの,むかしなりせは
あめのした,ちよにやちよと,いのるこそ,よゐのむかしに,かはらさりけれ
なにとかく,おもひもわかて,しのふらむ,すきにしかたも,おなしうきよを
いかなれは,こひしとおもふ,いにしへの,つきひにそへて,とほさかるらむ
としつきは,いはてこころに,おもひこし,このよをいまそ,そむきはてぬる
いまさらに,そてのいろにや,しらるらむ,かねてもそめし,こころなれとも
みをすてし,わかすみそめは,なけかれて,よそにかなしき,そてのいろかな
なにゆゑか,よそになけかむ,こころより,おもひたちぬる,すみそめのそて
よをすつる,ひとかたをこそ,なけきつれ,ともにそむくと,きくそかなしき
としたけぬ,ひとたにそむく,よのなかに,おいてつれなく,いかかのこらむ
なにとまた,こころにものを,おもふらむ,かからしとてそ,よをはいとひし
ねぬにみる,このよのゆめよ,いかならむ,おとろけはとて,うつつともなし
いかかせむ,このよのゆめの,さめやらて,またかさならむ,なかきねふりを
ゆめのよに,まよふときかは,うつつにも,なほなくさまぬ,わかれならまし
みしひとの,すてていてにし,ゆめのよに,とまるなけきそ,さむるまもなき
よそにきく,ひとはおとろく,ゆめのよを,われのみさめす,なほなけくかな
あたしのや,かせまつつゆを,よそにみて,きえむものとも,みをはおもはす
