わかれての,のちしのへとや,ゆくはるの,ひかすにはなの,さきあまるらむ
わかそてに,かみはゆるさぬ,あふひくさ,こころのほかに,かけてみるかな
もろかつら,かかるためしは,あらしかし,けふふたはなる,ちよをそふれは
ふたはなる,ちとせをそふる,もろかつら,しめのうちには,ためしにそひく
わすれすよ,いのるみやまの,あふひくさ,かけしむかしは,とほさかれとも
ほとときす,なくへきころも,あやにくに,まてはやしのふ,はつねなるらむ
なへてよに,またるるころの,ほとときす,さそしのひねは,もらしかぬらむ
しのひねと,おもふものから,ほとときす,ききてはひとに,まつかたるかな
ひとつてと,いはぬはかりそ,ほとときす,きくともなくて,すきぬなるかな
さたかなる,ひとつてよりは,ほとときす,たとるはかりの,ひとこゑもかな
まちかねて,ややふけにける,うたたねの,ゆめちにかよふ,ほとときすかな
やよやなけ,ありあけのそらの,ほとときす,こゑをしむへき,つきのかけかは
あくるよの,つきかけしたふ,ほとときす,こゑさへくもの,いつくなるらむ
つきをたに,あかすおもひて,ねぬものを,ほとときすさへ,なきわたるかな
ひとしれぬ,おもひやしけき,ほとときす,なつのよをしも,なきあかすらむ
つれなさの,たくひならしと,ありあけの,つきにしもなく,ほとときすかな
あかつきと,おもはてしもや,ほとときす,またなかそらの,つきになくらむ
やまのはの,つきになくよの,ほとときす,またれしよりも,いこそねられね
ほとときす,なきてすきゆく,やまのはに,いまひとこゑと,つきそのこれる
ほとときす,まつよひすきて,やまのはに,いさよふつきの,かけになくなり
あかつきの,おもひをそへて,ほとときす,なといひしらぬ,そらになくらむ
さのみやは,こころあるへき,ほとときす,ねさめのそらに,ひとこゑもかな
きくままに,ほのかになりぬ,ほとときす,くものよそにや,とほさかるらむ
ほとときす,ほのかになのる,ひとこゑの,あかてわかるる,みねのよこくも
むらくもの,たなひくそらの,ほとときす,たえたえにこそ,こゑもきこゆれ
さよふけて,ねさめてきけは,ほとときす,なくなるこゑや,いつこなるらむ
はしひめの,まつよふけてや,ほとときす,まきのをやまに,はつねなくらむ
ほとときす,やまのしつくに,たちぬれて,まつとはしるや,あかつきのこゑ
つのくにの,いくたのもりの,ほとときす,おのれすますは,あきそとはまし
ほとときす,きなくをきけは,おほあらきの,もりこそなつの,やとりなるらし
よしさらは,こころつくさて,ほとときす,おのかさつきの,ころやまたまし
しはしたに,かたらははこそ,ほとときす,こころつくしの,ほともうらみめ
みやこひと,さこそまつとも,ほとときす,おなしみやまの,ともなわすれそ
あかすなほ,しはしかたらへ,ほとときす,いかにまたれし,はつねとかしる
うちしのひ,ことかたらはむ,ほとときす,あすをあやめの,ねにはたつとも
あやめくさ,さつきのけふの,ほとときす,そてにはかけぬ,ねをやそふらむ
ほとときす,おのかさつきの,ときしらは,あやめかりふく,やとになかなむ
おしなへて,しけるのさはの,なつくさに,しめひきわけて,さなへとるなり
けふもまた,うらかせあれて,みなとたに,つりせぬあまや,さなへとるらむ
さととほき,やまたのさなへ,かへるさを,いそかてとるや,いそくなるらむ
さみたれの,はるるをひまと,をやまたに,このゆふくれや,さなへとるらむ
おほあらきの,もりのうきたの,さみたれに,そてほしあへす,さなへとるなり
やまかけや,たこのをかさを,ふくかせも,すすしきくれに,さなへとるなり
かせにちる,はなたちはなを,そてにうけて,きみかためにと,おもひけるかな
たかそての,なこりをとめて,たちはなの,むかしかはらぬ,かににほふらむ
そてふれて,みはしにちかく,たちはなの,にほひもいまは,むかしなりけり
しのふるも,とほからぬみの,むかしかな,はなたちはなの,ちかきまもりは
こころには,ちかきまもりの,たちはなの,たちなれしよそ,とほさかりゆく
たちはなの,そてのかはかり,むかしにて,うつりにけりな,ふるきみやこは
ふくかせに,むかしをのみや,しのふらむ,くにのみやこに,のこるたちはな
いつまてか,われもしのはむ,たちはなの,したふくかせに,のこるむかしを
むらさめの,なこりのつゆや,こほるらむ,かせにたまちる,のきのたちはな
おくつゆも,むかしのそての,なこりかは,しのふくさおふる,のきのたちはな
ほとときす,たれにむかしを,しのへとて,さのみおいその,もりになくらむ
かくはかり,つれなきものを,ほとときす,なくやさつきと,たれかいひけむ
うきくもの,みねたちまよふ,むらさめに,さそはれいつる,やまほとときす
つきかけは,おもひたえたる,さみたれの,くもよりいつる,ほとときすかな
さみたれの,ふるえのむらの,とまやかた,のきまてかかる,たこのうらなみ
