たちかふる,けふともいさや,しらかさね,きのふのはなの,そめぬたもとは
たちかふる,かとりのきぬの,しらかさね,かさねてもなほ,うすきそてかな
わかれにし,はなのかとりの,なつころも,はるのかたみや,なほのこるらむ
はるすきて,けふぬきかふる,からころも,みにこそなれね,なつはきにけり
なれきつる,はなのかをしき,ころもてを,けふたちかへて,なつはきにけり
ときすきて,あをはにましる,おそさくら,はるはこすゑに,とまるなりけり
しのひねも,けふよりとこそ,まつへきに,おもひもあへぬ,ほとときすかな
なきぬなり,うつきのけふの,ほとときす,これやまことの,はつねなるらむ
ほとときす,うのはなやまに,やすらひて,そらにしられぬ,つきになくなり
いとはやも,さとなれにけり,ほとときす,うのはなかきに,をちかへりなく
たまかはの,さとのかきねの,うのはなは,およはぬなみの,こすかとそみる
ゆふつくよ,ひかりをそへて,たまかはの,さとのしるへと,さけるうのはな
ひさかたの,つきのかけとも,みゆるかな,かつらのさとに,さけるうのはな
あけぬとも,なほかけのこせ,しろたへの,うのはなやまの,みしかよのつき
ことしまて,よよかけきつる,あふひくさ,たえぬちきりは,かみやうくらむ
もろかつら,くさのゆかりに,あらねとも,かけてまたるる,ほとときすかな
かみやまの,もりのしたくさ,ふみならし,まつひかさなる,ほとときすかな
しのひねは,ふけてやきくと,ほとときす,いもねぬよはを,かさねてそまつ
あしひきの,やまほとときす,まちわひぬ,かたらひなれし,たのみはかりに
ちきるたに,たのまれぬよに,ほとときす,うはのそらなる,ねこそまたるれ
またてきく,はつねならねは,つれなきを,うらみぬころの,ほとときすかな
はつねまつ,われにてしれは,ほとときす,ひとよりさきと,えこそうらみね
われならぬ,ひともまちけり,ほとときす,としにまれなる,はつねとおもへは
つれなさも,かはらぬころと,ほとときす,こそのふるこゑ,なほやまたれむ
しのふらむ,こころもしらす,ほとときす,さつきこぬまの,ねこそまたるれ
ほとときす,しのひもあへす,もらすなり,さつきまつまの,こそのふるこゑ
おのつから,ききてもいとと,しのひねの,ころはまたるる,ほとときすかな
ほとときす,なきつるかたの,しのひねに,こころゆるさす,なほまたれつつ
ほとときす,かたらふこゑを,ききしより,あしのしのやに,いこそねられね
まちわひぬ,やとやかへまし,ほとときす,おなしみやこも,わきてなくなり
ほとときす,やまちにたかく,なくこゑを,わかひとりねに,きくかかひなさ
このさとに,しはしかたらへ,ほとときす,ほかのはつねは,けふならすとも
なきふりて,のちにかたらへ,ほとときす,おいてきくへき,はつねならすは
たつねいる,やまのかひあれ,ほとときす,ききてみやこの,ひとにかたらむ
またれける,けふとしりてや,ほとときす,やまのかひある,ねをはなくらむ
かよひける,こころありてや,ほとときす,またるるほとの,そらになくらむ
ほとときす,くものいつくに,しのひきて,そらよりもらす,はつねなるらむ
みしかよは,おもひもあへす,ほとときす,あけゆくままに,はつねなくなり
ききつやと,とふひとあらは,ほとときす,こたふはかりの,ひとこゑもかな
ほとときす,ひとつてにのみ,きくころは,みのかすならぬ,ねこそなかるれ
きくひとも,われになつけそ,ほとときす,これそはつねと,おもふはかりに
たかためか,こころつくさて,ほとときす,このまのつきの,よそになくらむ
まちいつる,くもまのつきに,ほとときす,をしむはつねも,えやはしのはぬ
ほとときす,いこまのやまや,すきぬらむ,へたつるくもの,ほかになくなり
したふとも,しらてやなれも,ほとときす,かたらひすてて,よそにすくらむ
いくさとの,ゆめをのこして,ほとときす,かたらふこゑの,とほさかるらむ
うたたねは,ゆめにやあるらむ,ほとときす,おとろくほとに,またもきこえぬ
さとわかす,かたらひわたれ,ほとときす,まつらむひとの,おなしねさめに
しらてこそ,つれなかるらめ,ほとときす,おのかためなる,よはのねさめを
なれたにも,かたらひすつな,ほとときす,ものおもふころの,よはのねさめを
ほとときす,いまやとおもふ,ゆふくれを,たのめてくもる,むらさめのそら
むらさめの,くもまのつきを,しるへにて,いととまたるる,ほとときすかな
なきぬへき,こころのうらも,むらさめの,たよりまさしき,ほとときすかな
ほとときす,こゑまつころや,やまかつの,わさたのさなへ,うゑはしむらむ
たみのため,ときあるあめを,いのるとも,しらてやたこの,さなへとるらむ
おそくとき,たみのさなへに,みつきもの,たえぬひつきの,ほとそしらるる
みなかみに,たかさなへとる,すゑならむ,なかれてにこる,たにかはのみつ
ひろせかは,あたりのをたに,せきいれて,そてつくはかり,とるさなへかな
そてのかは,はなたちはなに,かへりきぬ,おもかけみせよ,うたたねのゆめ
しのふへき,よよのかたみに,のこしおきて,にほひはふりぬ,のきのたちはな
たちはなの,にほひはかりや,ふるさとの,のきはにくちぬ,かたみなるらむ
そてふれし,むかしのあとは,しのへとも,よそにみはしの,のきのたちはな
そてふれし,ちかきまもりの,いつとせも,あはれむかしと,にほふたちはな
