こほりゐし,しかのからさき,うちとけて,ささなみよする,はるかせそふく
よそなから,あはれといはむ,ことよりも,ひとつてならて,いとへとそおもふ
こひしなは,きみはあはれと,いはすとも,なかなかよその,ひとやしのはむ
いかはかり,ひとのつらさを,うらみまし,うきみのとかと,おもひなさすは
いかならむ,ことのはにてか,なひくへき,こひしといふは,かひなかりけり
わかために,つらきひとをは,おきなから,なにのつみなき,よをやうらみむ
わするやと,なからへゆけと,みにそひて,こひしきことは,おくれさりけり
としをへて,もゆてふふしの,やまよりも,あはぬおもひは,われそまされる
わひぬれは,しひてわすれむと,おもへとも,こころよわくも,おつるなみたか
おもはしと,おもへはいとと,こひしきは,いつちかわれか,こころなるらむ
こころさへ,むすふのかみや,つくりけむ,とくるけしきも,みえぬきみかな
ひとかたに,おもひたえにし,よのなかを,いかかはすへき,しつのをたまき
かけみえぬ,きみはあまよの,つきなれや,いててもひとに,しられさりけり
たなはたに,けさひくいとの,つゆをおもみ,たわむけしきを,みてややみなむ
みのほとを,おもひしりぬる,ことのみや,つれなきひとの,なさけなるらむ
わひつつも,おなしみやこは,なくさめき,たひねそこひの,かきりなりける
かせをいたみ,いはうつなみの,おのれのみ,くたけてものを,おもふころかな
わかこひは,よしののやまの,おくなれや,おもひいれとも,あふひともなし
むねはふし,そてはきよみか,せきなれや,けふりもなみも,たたぬひそなき
いたつらに,ちつかくちにし,にしききを,なほこりつまに,おもひたつかな
やまさくら,つひにさくへき,ものならは,ひとのこころを,つくささらなむ
しもおかぬ,ひとのこころは,うつろひて,おもかはりせぬ,しらきくのはな
しらきくの,かはらぬいろも,たのまれす,うつろはてやむ,あきしなけれは
くれなゐの,こそめのころも,うへにきむ,こひのなみたの,いろかくるやと
しのふれと,なみたそしるき,くれなゐに,ものおもふそては,そむへかりけり
くれなゐに,なみたのいろも,なりにけり,かはるはひとの,こころのみかは
こひしなむ,みこそおもへは,をしからね,うきもつらきも,ひとのとかかは
つらさをは,きみにならひて,しりぬるを,うれしきことを,たれにとはまし
うれしきは,いかはかりかは,おもふらむ,うきはみにしむ,ものにそありける
こひすれは,うきみさへこそ,をしまるれ,おなしよにたに,すまむとおもへは
みかきもり,ゑしのたくひの,よるはもえ,ひるはきえつつ,ものをこそおもへ
わかこひや,ふたみかはれる,たまくしけ,いかにすれとも,あふかたもなき
こほりして,おとはせねとも,やまかはの,したになかるる,ものとしらすや
かせふけは,もしほのけふり,かたよりに,なひくをひとの,こころともかな
せをはやみ,いはにせかるる,たきかはの,われてもすゑに,あはむとそおもふ
はりまなる,しかまにそむる,あなかちに,ひとをこひしと,おもふころかな
ほともなく,くるるとおもひし,ふゆのひの,こころもとなき,をりもありけり
こひわひて,ひとりふせやに,よもすから,おつるなみたや,おとなしのたき
きみをわか,おもふこころは,おほはらや,いつしかとのみ,すみやかれつつ
わかこひは,あひそめてこそ,まさりけれ,しかまのかちの,いろならねとも
よをふかみ,かへりしそらも,なかりしを,いつくよりおく,つゆにぬれけむ
こころをは,ととめてこそは,かへりつれ,あやしやなにの,くれをまつらむ
たけのはに,たまぬくつゆに,あらねとも,またよをこめて,おきにけるかな
みなひとの,をしむひなれと,われはたた,おそくくれゆく,なけきをそする
すみよしの,あささはをのの,わすれみつ,たえたえならて,あふよしもかな
われのみや,おもひおこせむ,あちきなく,ひとはゆくへも,しらぬものゆゑ
おもふこと,なくてすきつる,よのなかに,つひにこころを,ととめつるかな
つねよりも,つゆけかりける,こよひかな,これやあきたつ,はしめなるらむ
せきとむる,いはまのみつも,おのつから,したにはかよふ,ものとこそきけ
あふことは,まはらにあめる,いよすたれ,いよいよわれを,わひさするかな
いつくをも,よかるることの,わりなきに,ふたつにわくる,わかみともかな
もろともに,おきゐるつゆの,なかりせは,たれとかあきの,よをあかさまし
きたりとも,ぬるまもあらし,なつのよの,ありあけつきも,かたふきにけり
こぬひとを,うらみもはてし,ちきりおきし,そのことのはも,なさけならすや
ゆふくれに,ものおもふことは,まさるやと,われならさらむ,ひとにとははや
なみたさへ,いてにしかたを,なかめつつ,こころにもあらぬ,つきをみしかな
つらしとて,われさへひとを,わすれなは,さりとてなかの,たえやはつへき
あふことや,なみたのたまの,をなるらむ,しはしたゆれは,おちてみたるる
みかりのの,しはしのこひは,さもあらはあれ,そりはてぬるか,やかたをのたか
たけのはに,あられふるなり,さらさらに,ひとりはぬへき,ここちこそせね
ありふるも,くるしかりけり,なからへぬ,ひとのこころを,いのちともかな
うきなから,さすかにものの,かなしきは,いまはかきりと,おもふなりけり
とはぬまを,うらむらさきに,さくふちの,なにとてまつに,かかりそめけむ
おもひやれ,かけひのみつの,たえたえに,なりゆくほとの,こころほそさを
うくひすは,こつたふはなの,えたにても,たにのふるすを,おもひわするな
