ちらぬまに,こゆへかりける,やまちとも,あとつけかたき,はなにこそしれ
うつろふも,こころつからの,はなならは,さそふあらしを,いかかうらみむ
あはれなと,かせにこころの,なきよとて,はるさくはなを,ちらしはつらむ
そてのうへに,あかぬいろかは,ととめおけ,くれなははるの,はなのかたみに
あとたえて,しつけきやとに,さくはなの,ちりはつるまて,みるひとそなき
うくひすの,はかせにはなや,ちりぬらむ,はるくれかたの,こゑになくなり
さのみやは,はるのみやまの,はなをみむ,はやすみのほれ,くものうへのつき
おいてこそ,なみたもくもれ,はるのよの,つきはいつより,かすみそめけむ
かすむよの,つきにそさらに,しのはるる,わするはかりの,はるのむかしは
はるのよは,かすみにくもる,そらなれと,なみたいとはて,つきやみるへき
くもるとは,みえぬものから,ひさかたの,そらにかすめる,はるのよのつき
つらしとは,うらみさらまし,はるのよの,つきをへたてぬ,かすみなりせは
みすもあらす,みもせぬかけの,なかそらに,あやなくかすむ,はるのよのつき
つきかけを,かすみにこめて,やまのはの,またあけやらぬ,しののめのそら
ひとりのみ,みつつそしのふ,やまふきの,はなのさかりに,あふひともなし
やまふきの,はなこそいはぬ,いろならめ,もとのまかきを,とふひともかな
くれぬとて,ひともとまらぬ,まかきには,さくやまふきの,はなのなもをし
さくらはな,ちりにしのちは,やまふきの,さけるまかきに,のこるはるかな
くれはつる,はるのなこりを,をしとたに,えやはいはねの,やまふきのはな
ゆくはるを,をしとはいはぬ,いろなから,こころにうつる,やまふきのはな
やまふきの,はないろころも,さらすてふ,かきねやゐての,わたりなるらむ
ゆくはるは,さてもとまらし,やまふきの,はなにかけたる,ゐてのしからみ
まつかえは,みとりすくなく,うつもれて,むらさきかくる,いけのふちなみ
いくはるも,はなのさかりを,まつかえに,ひさしくかかれ,やとのふちなみ
ふたはより,ちきりおきてや,ふちなみの,こたかきまつに,かかりそめけむ
おきつかせ,ふくともみえぬ,たかさこの,をのへのまつに,かかるふちなみ
わかやとの,かけとそたのむ,ふちのはな,たちよりくとも,なみにをらるな
むらさきに,にほふふちなみ,うちはへて,まつにそちよの,いろはかかれる
ときはなる,はなとそみゆる,わかやとの,まつにこたかく,さけるふちなみ
