ほとときす,まつとはかりの,みしかよに,ねなましつきの,かけそあけゆく
ありあけの,つきにそたのむ,ほとときす,いひしはかりの,ちきりならねと
まちわひて,こよひもあけぬ,ほとときす,たかつれなさに,ねをならひけむ
たつねきて,けふもやまちに,くれにけり,こころつくしの,ほとときすかな
いにしへの,たかならはしに,ほとときす,またてはきかぬ,はつねなるらむ
やとことに,たれかはまたぬ,ほとときす,いつこをわきて,はつねなくらむ
またてきく,ひともやあらむ,ほとときす,なかぬにつけて,みこそしらるれ
またねとも,ものおもふひとは,おのつから,やまほとときす,まつそききつる
しろたへの,ころもほすより,ほとときす,なくやうつきの,たまかはのさと
しるしらす,たれきけとてか,ほとときす,あやなくけふは,はつねなくらむ
ひとこゑの,おほつかなきに,ほとときす,われもききつと,いふひともかな
ひとこゑの,あかぬなこりを,ほとときす,きかぬになして,なほやまたまし
はるかなる,たたひとこゑに,ほとときす,ひとのこころを,そらになしつつ
ほとときす,たたひとこゑと,ちきりけり,くるれはあくる,なつのよのつき
ほとときす,くものいつくに,やすらひて,あけかたちかき,つきになくらむ
おもひしれ,ありあけかたの,ほとときす,さこそはたれも,あかぬなこりを
おとつれむ,ことをそまちし,ほとときす,かたらふまては,おもはさりしを
やまかつと,なりてもなほそ,ほとときす,なくねにあかて,としはへにける
ほとときす,おとろかすなり,さらぬたに,おいのねさめは,よふかきものを
さつきまつ,なにはのうらの,ほとときす,あまのたくなは,くりかへしなけ
あやめくさ,ひとよはかりの,まくらたに,むすひもはてぬ,ゆめのみしかさ
あやめくさ,いつのさつきに,ひきそめて,なかきためしの,ねをもかくらむ
ほにいてむ,あきをけふより,かそへつつ,いほしろをたに,さなへとるなり
あらたまの,としあるみよの,あきかけて,とるやさなへに,けふもくれつつ
たちはなの,かけふむみちは,むかしにて,そてのかのこる,よよのふるさと
たちはなの,にほふさつきの,ほとときす,いかにしのふる,むかしなるらむ
くれかかる,しのやののきの,あめのうちに,ぬれてこととふ,ほとときすかな
ほとときす,ふりいててなけ,おもひいつる,ときはのもりの,さみたれのそら
みわたせは,かすみしほとの,やまもなし,ふしみのくれの,さみたれのころ
はれやらぬ,ひかすをそへて,やまのはに,くももかさなる,さみたれのそら
ぬれてほす,ひまこそなけれ,なつかりの,あしやのさとの,さみたれのころ
みつしほの,なかれひるまも,なかりけり,うらのみなとの,さみたれのころ
なのみして,いはなみたかく,きこゆなり,おとなしかはの,さみたれのころ
さみたれは,ふるかはのへに,みつこえて,なみまにたてる,ふたもとのすき
さみたれは,くもまもなきを,かはやしろ,いかにころもを,しのにほすらむ
ゆふやみに,あさせしらなみ,たとりつつ,みをさかのほる,うかひふねかな
またさらに,はつねとそまつ,ほとときす,おなしさつきも,つきしかはれは
あつまやの,まやののきはの,みしかよに,あまりほとなき,なつのつきかけ
すすしさに,あかすもあるかな,いしまゆく,みつにかけみる,なつのよのつき
なかむれは,すすしかりけり,なつのよの,つきのかつらに,かせやふくらむ
なつふかき,みつののまこも,かりねして,ころもてうすき,よはのつきかけ
てにならす,あふきのかせも,わすられて,ねやもるつきの,かけそすすしき
ふけぬとも,おもはぬほとの,うたたねに,やかてあけゆく,なつのよのそら
なつくさに,ましるさゆりは,おのつから,あきにしられぬ,つゆやおくらむ
いそのかみ,ふるのなかみち,いまさらに,ふみわけかたく,しけるなつくさ
おのつから,のなかのしみつ,しるひとも,わするはかりに,しけるなつくさ
なつくさの,ふかきおもひも,あるものを,おのれはかりと,とふほたるかな
よるはもえ,ひるはきえゆく,ほたるかな,ゑしのたくひに,いつならひけむ
うつもれぬ,これやなにはの,たまかしは,もにあらはれて,とふほたるかな
あしのやの,あまのなはたく,いさりひの,それかとはかり,ゆくほたるかな
をささはら,しのにみたれて,とふほたる,いまいくよとか,あきをまつらむ
あはちしま,ゆふたちすらし,すみよしの,うらのむかひに,かかるむらくも
たにかはの,なかれをみても,しられけり,くもこすみねの,ゆふたちのそら
かきくもる,ほとこそなけれ,あまくもの,よそになりゆく,ゆふたちのそら
ゆふたちの,はれゆくみねの,このまより,いりひすすしき,つゆのたまささ
ゆふたちの,なこりのつゆそ,おきまさる,むすふはかりの,にはのなつくさ
つゆふかき,にはのあさちに,かせすきて,なこりすすしき,ゆふたちのそら
つゆまかふ,ひかけになひく,あさちふの,おのつからふく,なつのゆふかせ
をりはへて,ねになきくらす,せみのはの,ゆふひもうすき,ころもてのもり
ゆふされは,のなかのまつの,したかけに,あきかせさそふ,ひくらしのこゑ
なつふかき,いたゐのみつの,いはまくら,あきかせならぬ,あかつきそなき
なつはつる,みそきもちかき,かはかせに,いはなみたかく,かくるしらゆふ
みそきする,ぬさもとりあへす,みなつきの,そらにしられぬ,あきかせそふく
けさかはる,あきとはかせの,おとはやま,おとにきくより,みにそしみける
けさはまた,くさはのたまの,かすそひて,つゆふきむすふ,あきのはつかせ
せみのはの,こすゑにうすき,なつころも,かはらすなから,あきはきにけり
かせのおとも,いつかはるらむ,あきはきて,またあさちふの,をののしのはら
いつしかと,をきのうははも,おとつれて,そてにしらるる,あきのはつかせ
あしのはの,おとにもしるし,つのくにの,こやふきそむる,あきのはつかせ
さらてたに,なつをわするる,まつかけの,いはゐのみつに,あきはきにけり
をかのへや,いつともわかぬ,まつかせの,みにしむほとに,あきはきにけり
いそのかみ,ふるののまつの,おとまても,むかしをのこす,あきのはつかせ
いつしかと,かせわたるなり,あまのかは,うきつのなみに,あきやたつらむ
たなはたの,くものころもの,あきかせに,あふたのみとや,こよひまつらむ
ちきりけむ,こころのほとも,ひこほしの,ゆきあひのそらに,たれかしるへき
あさからぬ,ちきりとそおもふ,あまのかは,あふせはとしの,ひとよなれとも
としにまつ,ならひそつらき,あまのかは,あふせはちかき,わたりなれとも
ひこほしの,かさしのたまや,あまのかは,みつかけくさの,つゆにまかはむ
かさねても,あかぬおもひや,まさるらむ,けさたちかへる,あまのはころも
たちかへる,けさのなみたに,たなはたの,かさしのたまの,かすやそふらむ
いまよりの,つゆをはつゆと,をきのはに,なみたかつちる,あきかせそふく
をきのはに,かせまつほとの,ゆふくれを,おとつれかへて,ひとのとへかし
あきのよは,ひとまつとしも,なけれとも,をきのはかせに,おとろかれつつ
かりひとの,いるののつゆの,しらまゆみ,すゑもとををに,あきかせそふく
をとめこか,たまものすそや,しをるらむ,のしまかさきの,あきのゆふつゆ
むしのねも,わかみひとつの,あきかせに,つゆわけわふる,をののしのはら
ゆふくれは,わかみひとつの,あきにしも,あらぬものゆゑ,ぬるるそてかな
こころから,なかめてものを,おもふかな,わかためにうき,あきのそらかは
ふちはかま,あらしたちぬる,いろよりも,くたけてものは,われそかなしき
からころも,すそのににほふ,ふちはかま,きてみぬさきに,ほころひにけり
いつかたに,こころをよせて,をみなへし,あきかせふけは,まつなひくらむ
そてかへる,をちかたひとは,わけすきて,のこるをはなに,あきかせそふく
ゆふきりの,まかきのあきの,はなすすき,をちかたならぬ,そてかとそみる
あきやまの,すそののすすき,うちなひき,くれゆくかせに,うつらなくなり
はきかはな,たれにかみせむ,うつらなく,いはれののへの,あきのゆふくれ
さらぬたに,こころおかるる,はきかえに,つゆもあたなる,あきのゆふかせ
はきかはな,うつろふにはの,あきかせに,したはもまたて,つゆはちりつつ
こころありて,つゆやおくらむ,のへよりも,にほひそまさる,あきはきのはな
みやきのの,このしたつゆも,いろみえて,うつりそまさる,あきはきのはな
みやきのの,もとあらのこはき,いまよりや,うつろふいろに,しかのなくらむ
