けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
まつにふく,あらしのおとも,たかさこの,うらちしくるる,あきのゆふくれ
むかしより,たのむみきはの,まつなれは,なみもあはれを,かくとしらすや
ゆふくれの,まつにふきたつ,やまかせに,のきはくもらぬ,むらさめのこゑ
にはのおもの,ひときのまつを,ふくかせに,いくむらさめの,こゑをきくらむ
ききわひぬ,のきはのまつを,ふきしをる,あらしにこもる,いりあひのこゑ
かせたにも,のきはのまつに,こゑやみて,ゆふへのとけき,やまかけのやと
なかめやる,みやこのかたは,ひかけにて,このやまもとは,まつのゆふかせ
やまふかみ,ゆふへのかねの,こゑつきて,のこるあらしの,おとそさひしき
やまさとに,しはしはゆめも,みえさりき,なれてまとろむ,みねのまつかせ
やまふかき,さとのしるへに,なるものは,いりあひのかねの,こゑにそありける
さひしさは,をかへのいほの,あきのくれ,まつかせならて,おとつれもなし
のかれえぬ,ひとめはおなし,みやこにて,わかやますみそ,なほあらはなる
このさとは,やまかけなれは,ほかよりも,くれはててきく,いりあひのこゑ
いほちかき,つまきのみちや,くれぬらむ,のきはにくたる,やまひとのこゑ
ふきたゆむ,ひまこそいまは,さひしけれ,ききなれにける,みねのまつかせ
やまさとの,ゆふくれかたの,さひしさを,みねのあらしの,おとろかすかな
このさとは,くものやへたつ,みねなれは,ふもとにしつむ,とりのひとこゑ
やまかけや,のきはのこけの,したくちて,かはらのうへに,まつかせそふく
をくらやま,まつをむかしの,ともとみて,いくとせおいの,よをおくるらむ
いくさとか,あらしにつけて,きこゆらむ,わかすむてらの,いりあひのかね
わふとたに,たれかはしらむ,あともなき,くものおくなる,やまのすみかは
やまさとに,わかみふりてそ,かたかたに,つもるみゆきの,あともまちみる
やまさとを,うきよのほかの,やとそとは,すまておもひし,こころなりけり
やまさとの,こころしつかに,すみよきは,とふひともなし,まつこともなし
たにのみつ,みねのたききに,あけくれて,いはほのなかも,いとまなのよや
ひととせの,みやこのひとの,そらたのめ,おもひはてぬる,ふゆのやまさと
ときはきの,しけきみとりの,したにして,ひかけもみえぬ,たにかけのやと
やまかせは,かきほのたけに,ふきすてて,みねのまつより,またひひくなり
やまあらしの,すきぬとおもふ,ゆふくれに,おくれてさわく,のきのまつかえ
いりかたの,つきはすくなき,しはのとに,あけぬよふかき,あらしをそきく
をくらやま,のきはのにしに,ちかけれは,ほかにはいらぬ,つきそかくるる
なこりをは,いはきにつけて,おもふにも,あらさらむよの,あれまくもをし
いつといはむ,ゆふへのそらに,ききはてむ,わかすむやまの,まつかせのおと
うきたひの,みのあらましに,おもなれて,すむここちする,やまのおくかな
さひしさを,よのうきかたに,おもひかへて,みやまのつきを,ひとりみるかな
やまふかく,またたかかよふ,みちならむ,これよりおくの,みねのかけはし
やまきはの,たなかのもりに,しめはへて,けふさとひとは,かみまつるなり
たきのおとも,いかかきくらむ,みやこたに,ものあはれなる,ころにもあるかな
いくかへり,くるともつきし,かめのをの,やまのいはねの,たきのしらいと
たかをやま,きよたきかはを,そこにみて,たにかけめくる,まつのしたみち
やまかせは,ふけときこえす,いはかねや,たきりておつる,たきのひひきに
ひとりやは,みえぬやまちも,たつぬへき,おなしこころに,なけくうきよを
さとひとの,いほりにたける,しひしはの,けふりふきしく,やまおろしのかせ
かねのおとを,まつにふきしく,おひかせに,つまきやおもき,かへるやまひと
あはれなる,とほやまはたの,いほりかな,しはのけふりの,たつにつけても
としつきの,かすをもしらし,ふもとより,つもれるちりの,たかさこのやま
よのなかは,いつみのそまき,とるたみも,ふるきをさらに,ひきおこさなむ
やまふかみ,なるるかせきの,けちかさに,よをとほさかる,ほとそしらるる
ひとりすむ,おほろのしみつ,ともとては,つきをそやとす,おほはらのさと
たつたやま,あらしのおとも,たかやすの,さとはあれにし,てらとこたへよ
なにしおはは,あけすもあらなむ,くらまやま,みちみえすとて,われはかへらし
あしひきの,やまたのひたの,おとたかみ,こころにもあらぬ,ねさめをそする
いほむすふ,あきのやまたの,ひたすらに,いとへやこれは,かりそめのよそ
いほりさす,そとものをたに,かせすきて,ひかぬなるこの,おとそきこゆる
のこるまつ,かはるこくさの,いろならて,すくるつきひも,しらぬやとかな
はなのゆき,このはしくれの,いくとせを,みはふるさとの,にはにみるらむ
われならて,またうちはらふ,ひともなき,よもきかはらを,なかめてそふる
むかしへの,ふるきつつみは,としふかき,いけのなきさに,みくさおひにけり
よのなかを,おもひのきはの,しのふくさ,いくよのやとと,あれかはてなむ
まつにあらし,あさちかつゆに,つきのかけ,それよりほかに,とふひとはなし
くさのいほに,こころはとめつ,いつかまた,やかてわかみも,すまむとすらむ
うちやまの,むかしのいほの,あととへは,みやこのたつみ,なそふりにける
こけのむす,のきはのまつは,こたかくて,みしにもあらぬ,ふるさとのには
くもにふす,みねのいほりの,しはのとを,ひとはおとせて,たたくまつかせ
さとひたる,いぬのこゑにそ,しられける,たけよりおくの,ひとのいへゐは
たかさとの,いへゐなるらむ,かたやまの,ふもとにめくる,たけのひとむら
のちのよを,おもひおきけむ,くれたけの,そのすゑまても,あはれとはみよ
このきみの,みよかしこしと,くれたけの,すゑすゑまても,いかていはれむ
くれたけの,よよのむかしも,しのはれて,わすれぬふしの,おほくもあるかな
そのよこそ,なほこひしけれ,ももしきや,わかともとみし,にはのくれたけ
たのもより,やまもとさして,ゆくさきの,ちかしとみれは,はるかにそとふ
ゆふまくれ,こたかきもりに,すむはとの,ひとりともよふ,こゑそさひしき
このうちも,なほうらやまし,やまからの,みのほとかくす,ゆふかほのやと
とりとりの,わかれのほとも,かなしきに,すへてこのよに,またはかへらし
ささかにの,くものふるまひ,あはれなり,これもこころの,すちはみえつつ
のきちかき,まかきのたけの,すゑはより,しのふにかよふ,ささかにのいと
なさけみせて,のこせるふみの,たまのこゑ,ぬしをととむる,ものにそありける
するすみの,いろしみえすは,みつくきの,なかれてのよの,あとをとめめや
おもひける,こころのみゆる,たまつさは,ぬしにかたらふ,ここちこそすれ
いつはりの,ことのはしけき,よにしあれは,おもふといふも,まことならめや
なへてみな,きみかなけきを,とふかすに,おもひなされぬ,ことのはもかな
あらちをの,かりゆくのへの,くさたかみ,ひくやまゆみの,すゑはかりみゆ
やまひとの,ましはにませて,さすをはな,かせふかねとも,まねきてそゆく
みるからに,おつるなみたの,たまくしけ,みにつたふへき,かたみなりけり
かたみとて,かへすもよよの,いへのかせ,ふきつたへよと,おもふとをしれ
つつみける,おもひやなにそ,からころも,よにもるまての,そてのしつくは
たかもらす,なみたなるらむ,からころも,わかみにしらぬ,そてのしつくは
あはれとは,くもゐをかけて,きこゆなり,あしへのたつの,こをおもふこゑ
くもゐより,としへてなれし,あしたつの,かへるわかれに,ねをそそへつる
みちをゆつる,きみにひかれて,よつのをの,そのねもたかき,なをそあけぬる
つたへこし,みちもみちある,みよにあひて,たえせぬいへの,あとたえめやは
むそちあまり,おいぬるとしの,しるしとて,きみかなさけの,みにあまるかな
はなにさき,みになりかはる,よをすてて,うきはのつゆと,われそけぬへき
きみはなほ,ちりにしはなの,このもとに,たちよらぬとは,おもはさりけり
はなちりし,みちにこころは,まとはれて,このもとまても,ゆかれやはせし
ことのはの,つゆはかりたに,かけよかし,くさのゆかりの,かすならすとも
むらさきの,いろにいてては,いはねとも,くさのゆかりを,わすれやはする
ひとことに,えてうれしきは,のりのはな,みよのほとけの,やとのものとて
もるやまの,みねのもみちも,ちりにけり,はかなきいろの,をしくもあるかな
みねつつき,やまへはなれす,すむしかも,みちたとるなり,あきのゆふきり
いりあひの,かねのおとこそ,かなしけれ,けふをむなしく,くれぬとおもへは
むさしのの,くさはにやとる,しらつゆの,いくよあるへき,ものならなくに
よのなかは,みつにやとれる,つきなれや,すみはつへくも,おもほえぬかな
ととまらぬ,ひとのいのちと,あしひきの,やましたみつと,いつれはやけむ
もろともに,きのふののへに,いさゆきて,かすみをたにも,みてかへりなむ
くものうへの,ものおもふはるは,すみそめに,かすむそらさへ,あはれなるかな
あひにあひて,ものおもふはるは,かひもなし,はなもかすみも,めにしたたねは
おもひやれ,はるのひかりも,てらしこぬ,みやまのさとの,ゆきのふかさを
くさもきも,いろつきわたる,はるさめに,くちのみまさる,ふちのころもて
ひねもすに,ふるはるさめや,いにしへを,こふるたもとの,しつくなるらむ
いかてかく,うきよをしらて,うめのはな,ことしもおなし,いろにさくらむ
ちりのこる,はなたにあるを,きみかなと,このはるはかり,とまらさりけむ
ここのへも,はなのさかりに,なるなかに,わかみひとつや,はるのよそなる
いくほとか,なからへてみむ,やまさくら,はなよりもろき,いのちとおもへは
はるしらぬ,うきみもかなし,いにしへに,つらねしえたの,はなにわかれて
なきひとを,はなゆゑけふは,しのひても,のちのはるをは,われもたのます
をしまれし,こすゑのはなは,ちりはてて,いとふみとりの,はのみのこれる
いかにいひ,いかにとはむと,おもふまに,こころもつきて,はるもくれにき
ほとときす,こそみしきみも,なきやとに,いかになくらむ,けふのはつこゑ
かなしさの,かかるときやは,またもありし,うへもうつきと,いひはしめけり
さらてたに,ことしはそての,ひまなきに,かさねてしをる,あきのつゆけさ
いはかけの,けふりをきりに,わきかねて,そのゆふくれの,ここちせしかな
いさきよき,こころもしるし,いるつきの,なきかけをさへ,きみにまかせて
なきかけを,みよとてつきの,いりしより,いととこころの,やみにまとひぬ
ひとりのみ,なみまにやとる,つきをみて,むかしのともや,おもかけにたつ
もろともに,みしよのひとは,なみのうへに,おもかけうかふ,つきそかなしき
むらくもに,ひかりかくるる,つきみれは,くさのすゑはの,つゆもけぬめり
やまさとの,あきのわかれの,かなしきは,しかさへこゑも,をしまさりけり
むしのねの,よわるのみかは,すくるあきを,をしむわかみそ,まつきえぬへき
うきよをは,あきはててこそ,そむきしか,またはいかなる,けふのわかれそ
あきかけて,ふりにしやとの,むらしくれ,たのむかけなく,ぬるるそてかな
われさへそ,そてはつゆけき,ふちころも,きみおりたちて,きるそとおもへは
きりきりす,あはれとそきく,つひのわか,よもきかもとの,ともそとおもへは
けふはいかに,なみたふりにし,みやのうちも,さらにしくれて,そてぬらすらむ
なみたのみ,いととふりそふ,しくれには,ほすひまもなき,すみそめのそて
おもひしれ,あきのなかはの,つゆけさを,しくれにぬるる,そてのうへにて
ましてひと,いかなることを,おもふらむ,しくれたにしる,けふのあはれを
ふるからに,とまらすきゆる,ゆきよりも,はかなきひとを,なににたとへむ
あらぬよに,ふるここちして,かなしきに,またとしをさへ,へたてつるかな
いつれのひ,いかなるやまの,ふもとにて,もゆるけふりと,ならむとすらむ
ありしよに,ゑしのたくひは,きえにしを,こはまたなにの,けふりなるらむ
きえにしを,うしとはかりは,みはかやま,さきたつくもの,ゆくへしらせよ
とりへやま,けふりのすゑや,これならむ,むらむらすこき,そらのうきくも
なけきつつ,あめもなみたも,ふるさとの,むくらのかとの,いてかたきかな
やまふかみ,とふひとなしと,おもへとも,ひとりすむみは,けふそうれしき
ゆめのよは,とふひとあらし,とはかりの,みちのしるへを,まちやつけけむ
うかりける,このよのゆめの,さめぬまを,みるもうつつの,ここちやはせし
むかしにも,かはらすすめる,いけみつに,かけたにみえぬ,きみそかなしき
さきたつを,あはれあはれと,いひいひて,とまるひとなき,みちそかなしき
うきみをは,こととはすとも,かかるよの,かなしきことは,しるやしらすや
かなしさを,よそのなけきと,おもはねは,ひとをとふへき,ここちたにせす
あるほとか,あるにもあらぬ,うちになほ,かくうきことを,みるそかなしき
なかれゆく,みつにたまなす,うたかたの,あはれあたなる,このよなりけり
ふなをかの,すそののつかの,かすそへて,むかしのひとに,きみをなしつる
ひとりねに,ありしむかしの,おもほえて,なほなきとこを,もとめつるかな
ときはなる,いはやはいまも,ありけれと,すみけむひとそ,つねなかりける
いはやとに,たてるまつのき,なれをみれは,むかしのひとに,あひみるかこと
かへりては,まつたらちねを,みしものを,けふはたれにか,あはむとすらむ
みちのへの,よもきかもとそ,あはれなる,このよのはての,すみかとおもへは
おくれゐて,なみたさへこそ,ととまらね,みしもききしも,のこりなきよに
いかにせむ,わかのちのよは,さてもなほ,むかしのけふを,とふひともかな
うきことの,いつもそふみは,なにとしも,おもひあへても,なみたおちけり
おのつから,おくれさきたつ,こともあれと,おいてととまる,かすそすくなき
いまはとて,かたみのころも,ぬきすてて,いろかはるへき,ここちこそせね
こそまては,わけこしともも,つゆときえて,ひとりしをるる,ふかくさののへ
うきときと,わかれしまては,おもひしに,おなしつきひそ,かたみなりける
かさねきる,ふちのころもを,たよりにて,こころのいろも,そめよとそおもふ
みわたせは,みなすみそめの,ころもては,たちゐにつけて,ものそかなしき
なきをこそ,きみはこふらめ,としふれは,あるもかなしき,ものにそありける
ふれはうし,へしとてもまた,いかかせむ,あめのしたより,ほかのなけれは
いつまてと,のとかにものを,おもふらむ,ときのまをたに,しらぬいのちに
めのまへに,かくあれはつる,いせのうみを,よそのなきさと,おもひけるかな
いにしへの,あまのすみけむ,いせのうみも,かかるなきさは,あらしとそおもふ
おくれしと,おもふこころに,そむけとも,このよにとまる,ほとそかなしき
いままてに,よにありへむと,おもはぬを,そむくみちにも,おくれぬるかな
ゆめのよに,なれこしちきり,くちすして,さめむあしたに,あふこともかな
ふえたけの,このよをなかく,わかれにし,きみかかたみの,こゑそかなしき
たまつさの,そのたまのをの,たえしより,いまはかたみの,ねにそなかるる
いにしへを,かくるなみたの,たまつさの,かたみのこゑに,ねをそそへぬる
ひとのよは,なほそはかなき,ゆふかせに,こほるるつゆは,またもおきけり
みちかはる,みゆきかなしき,こよひかな,かきりのたひと,みるにつけても
わかれちは,えそしたかはぬ,むかしより,つかへなれにし,みゆきなれとも
わかれにし,ひとをかくても,みてしかな,ほとへてかへる,たまもありけり
たちよらむ,かたもしられす,うつせみの,むなしきとこの,なみのさわきに
みかかれし,たまのうてなを,つゆふかき,のへにうつして,みるそかなしき
ふかくさの,つゆふみわくる,みちすから,こけのたもとそ,かつしをれゆく
いにしへの,つるのはやしの,はるはあれと,なほかめやまの,あきそかなしき
なくなくも,したひてそみる,なきひとの,おもかけはかり,ありあけのつき
ゆめかとも,なにかおとろく,さならても,うつつなるへき,このよならぬを
さきたつも,とまるもおなし,ゆめのよを,よそにおとろく,みさへはかなき
おなしよの,めくみたえぬと,なけきしに,あとまてのこる,なさけをそきく
おもひきや,みとせのあきを,すくしきて,けふまたそてに,つゆかけむとは
もみちはを,あきのかたみと,なかめても,しくれとふるは,なみたなりけり
わけきつる,そてのしつくか,とりへのの,なくなくかへる,みちしはのつゆ
いかにして,きえにしあきの,しらつゆを,はちすのうへの,たまとみかかむ
みしゆめの,おなしうきよの,たくひにも,さめぬあはれそ,いととかなしき
としへても,さめすかなしき,なつのよの,ゆめにゆめそふ,あきのつゆけさ
よのうさに,あきのつらさを,かさねても,ひとへにしをる,すみそめのそて
きえぬまの,みをもしるしる,あさかほの,つゆとあらそふ,よをなけくかな
さやかなる,つきともいさや,みえわかす,たたかきくらす,ここちのみして
かけたにも,とまらさりけり,くものうへを,たまのうてなと,たれかいひけむ
さきはてす,ちりにしはなの,わかれより,はるのやよひは,うらみはててき
たれみよと,なほにほふらむ,さくらはな,ちるををしみし,ひともなきよに
いかはかり,けふはさくらの,はなみても,あたになりにし,ひとをこふらむ
ふしておもひ,おきてもまとふ,はるのゆめ,いつかおもひの,さめむとすらむ
ねさめして,おもひそいつる,ほとときす,くもゐにききし,よるのひとこゑ
はるのはな,さきてはちりぬ,あきのつき,みちてはかけぬ,あなうよのなか
つゆきゆる,うきよにあきの,をみなへし,ことしもしらぬ,いろそかなしき
みてすきし,おなしうきよの,ゆめなれは,とふにつけてそ,われもかなしき
かきりなき,うきよのゆめを,みてしかな,このかなしさも,おとろかれぬを
かくれにし,くもゐのつきを,おもひいてて,たれとむかしの,あきをこふらむ
かきくらす,なみたはかりを,ともとして,かくれしつきを,こひぬよそなき
あきになり,かせのすすしく,かはるにも,なみたのつゆそ,しのにちりける
わきてこの,あきはいかなる,あきなれは,つゆそふそての,またしくるらむ
ふかくさの,やまのもみちに,このあきは,なけきのいろを,そへてこそみれ
ほとときす,こととふからに,いととしく,むかしのけふを,こひつつそなく
きみこふる,なけきのしけき,やまさとは,たたひくらしそ,ともになきける
またもこむ,あきをまつへき,たなはたの,わかるるたにも,いかかかなしき
おもはさりし,ふちのたもとの,あきのつゆ,かかるちきりの,あはれをそしる
よをすては,つらきあきもや,なくさむと,おもひしそても,つゆはかわかす
ひとのよは,おもへはなへて,あたしのの,よもきかもとの,ひとつしらつゆ
いはてのみ,むかしのことは,おもへとも,おさへかたきは,なみたなりけり
けふかくて,めくりあふにも,かなしきは,このよへたてし,わかれなりけり
こひしのふ,ひとにあふみの,うみならは,あらきなみにも,たちましらまし
いつかたの,たにのけふりと,なりにけむ,あはれゆくへも,なきそかなしき
きけとなほ,ゆめかなにそと,たとられて,うきもうつつの,ここちこそせね
あらしふく,みやまのさとに,きみをおきて,こころもそらに,けふはかへりぬ
なへてにも,あらぬわかれの,かなしさは,いかにとたにそ,いはれさりける
かすならぬ,なみたのつゆを,かけてたに,たまのかさりを,そへむとそおもふ
きみなくて,かへるなみちに,しをれこし,そてのしつくを,やもひやらなむ
そのをりに,きてましものを,ふちころも,やかてそれこそ,かきりなりけれ
うつせみの,よはつねなしと,しるものを,あきかせさむみ,しのひつるかも
わかれにし,はるのかたみの,ふちころも,たちかさねぬる,あきそかなしき
ふたとせの,あきのあはれは,ふかくさや,さかののつゆも,またきえぬなり
またほさぬ,こそのたもとの,あきかけて,きえそふつゆも,よそにやはおもふ
うかりしも,かたみとおもふ,あきにさへ,かさねてまたや,けふはわかれむ
つかへつつ,なれしむかしの,ままならは,こよひやよをは,そむきはてまし
とまるみは,ありてかひなき,わかれちに,なとさきたたぬ,いのちなりけむ
かはらしな,きえにしつゆの,なこりとて,そてほしわふる,あきのおもひは
ならひそと,しりてもうきは,めのまへに,ひとにおくるる,わかれなりけり
こをおもふ,みちこそやみと,ききしかと,おやのあとにも,まよはれにけり
なにゆゑに,みやこのほかに,たひねして,しかのなくねに,こゑをそふらむ
をしむへき,ひとはみしかき,たまのをに,うきみひとつの,なかきよのゆめ
のちみむと,きみかむすへる,いはしろの,こまつかうれを,またみつるかも
このもとに,くちはてぬへき,かなしさに,ふりにしことの,はをちらすかな
いへのかせ,ふきつたへすは,このもとに,あたらもみちの,くちやはてまし
やへむくら,たえぬるみちと,みえしかと,わすれぬひとは,なほたつねけり
みるたひに,つゆかかれとは,いひおかぬ,ことのはいかて,なみたおつらむ
こころうつる,なさけいつれと,わきかねぬ,はなほとときす,つきゆきのとき
うれしのや,うきよのなかの,なくさめや,はるのさくらに,あきのつきかけ
なかなかに,よはひたけてそ,いろまさる,つきとはなとに,そめしこころは
ひきかへて,はなみるはるは,よるはなく,つきみむあきは,ひるなからなむ
まほろしは,たまのうてなに,たつねきて,むかしのあきの,ちきりをそきく
くらしかね,なかきおもひの,はるのひに,うれへともなふ,うくひすのこゑ
いかてかく,やともさためぬ,なみのうへに,うきものおもふ,みとはなりけむ
あきつしま,ひとのこころを,たねとして,とほくつたへし,やまとことのは
わかのうらや,かきおくなかの,もくつにも,かくれぬたまの,ひかりをそみる
わかのうらに,みちふみまよふ,よるのつる,このなさけにそ,ねはなかれける
わかのうらの,ともをはなれて,さよちとり,そのかすならぬ,ねこそなかるれ
なくねをも,よそにやはきく,ともちとり,すむうらゆゑそ,とほさかるらむ
わかのうらに,あとつけなから,はまちとり,なにあらはれぬ,ねをのみそなく
もしほひの,けふりのすゑを,たよりにて,しはしたちよる,わかのうらなみ
ひとなみに,きみわすれすは,わかのうらの,いりえのもくつ,かすならすとも
つかふるは,おやのをしへと,たのめとも,みのためにうき,よをいかにせむ
ゆめはたた,ぬるよのうちの,うつつにて,さめぬるのちの,なにこそありけれ
ありてすき,みえてさめぬる,のちはたた,うつつもゆめも,かはらさりけり
ぬるかうちは,いまやむかしに,かへるらむ,むかしやいまの,ゆめにみえつる
うたたねの,みしかきゆめの,ほとはかり,おいのまくらに,むかしをそみる
ぬるかうちの,ゆめははかなき,ものといへと,おもふこころの,すゑはみえけり
ゆめならて,またはまことも,なきものを,たかなつけける,うつつなるらむ
みのうさを,おもひねにみる,ゆめなれは,うつつにかはる,なくさめもなし
ことのはの,つゆにおもひを,かけしひと,みこそはきゆれ,こころきえめや
あさゆふに,みておとろかぬ,ゆめのよは,さむるかきりも,あらしとそおもふ
やまふかく,すまはともにと,いふひとも,まことにならは,かはりもやせむ
をしむとて,をしまれぬへき,このよかは,みをすててこそ,みをもたすけめ
われそまつ,いるへきみちに,さきたてて,したふへしとは,おもはさりしを
おなしよを,そむくときけは,いまさらに,みのつれなさそ,おもひしらるる
とはれすは,そむくうきよの,おもひいても,なきみのとかに,なしやはてまし
うきなから,すめはすまるる,よのなかを,おもひとりける,きみそかなしき
みひとつを,おもひすてしは,やすけれと,ひとのためには,よこそをしけれ
そむくよも,かしこききみの,しるへかな,すててこそいる,みちとききしに
すつるよの,あとまてのこる,もしほくさ,かたみなれとや,かきととめけむ
すつるよの,かたみとみすは,もしほくさ,かきおくあとも,かひやなからむ
なにことを,そむきはてぬと,おもふらむ,このよはすてぬ,みにこそありけれ
いとひえぬ,うきみのみこそ,かなしけれ,いへをいてぬと,ひとをきくにも
おもへとも,さすかにみをは,すてやらて,ひとのあはれを,とふそかなしき
いとふへき,かりのやとりは,いてぬなり,いまはまことの,みちをたつねよ
なほさりに,おもひもいらは,こけころも,かさなるやまを,いかてわけまし
ことのねに,なみたをそへて,なかすかな,たえなましかはと,おもふあはれに
ゆめのうちに,みしおもかけの,かはらねは,なほありしよの,ここちこそすれ
いかならむ,やまのあなたの,やとまても,きみをそたのむ,われなわすれそ
けふもまた,むかしかたりに,なりぬとも,わすれやはせむ,よよのすゑまて
うきみさへ,みにさすらひて,としもへぬ,すむへきやまの,おくはあれとも
あるもうく,なきもかなしき,よのなかを,いかさまにかは,おもひさためむ
おもふとも,つひにはそはし,おなしくは,うまれすしなて,ともとならはや
いとけなし,おいてよわりぬ,さかりには,まきらはしくて,つひにくらしつ
うけかたき,みをはいかかは,すてむとて,いままてよには,めくるなりけり
ゆみはりの,つきみるよひは,ほともなく,いるやまのはそ,わひしかりける
しはしたに,ここをはつきも,すみうくや,すたれのほかに,かけおちてゆく
もろともに,かけかたふきて,なかむれは,つきもあはれと,われをみるらむ
なれみるも,いつまてかはと,あはれなり,わかよふけゆく,ゆくすゑのつき
よのなかの,うきをもしらす,すむつきの,かけはわかみの,ここちこそすれ
みをあきの,わかむかしをも,おもひいつや,なみたおちそふ,そてのつきかけ
よのうさに,おもひいるへき,やまのはを,すみうかれてや,つきはいつらむ
おもふこと,なくてなかめし,むかしたに,つきにこころの,のこりやはせし
いつくにて,いかなることを,おもひつつ,こよひのつきに,そてしをるらむ
よをすてて,なほうきときの,しるへせよ,いりぬるやまの,みねのつきかけ
すむかひも,なくてくもゐに,ありあけの,つきはなにとか,いるもしられむ
みのうさを,うれへあはする,とももあらは,つきにはさのみ,かこたさらまし
うきよおもふ,しはのいほりの,ひまをあらみ,さそふかつきの,にしにかたふく
をはりおもふ,こころのすゑの,かなしきは,つきみるにしの,やまのはのくも
ひさかたの,そらさへちかき,おくやまに,つきとともにも,いりにけるかな
くもかくれ,さやかにみえぬ,つきかけに,まちみまたすみ,ひとそこひしき
いまはとて,かけをかくさむ,ゆふへにも,われをはおくれ,やまのはのつき
すてていてし,うきよはつきの,すまてあれな,さらにこころの,とまらさらまし
われをとふ,ひとこそなけれ,むかしみし,みやこのつきは,おもひいつらむ
よつのをの,しらへにつけて,おもひいてよ,なかはのつきに,われもわすれし
よのなかの,せめてはかなき,ためしとや,つきさへかりの,やとりにそすむ
けにやさそ,にしにこころは,いそかるる,かたふくつきを,いまはをしまし
つきみれは,おいぬるみこそ,かなしけれ,つひにはやまの,はにやかくれむ
にしへゆく,つきのなにとて,いそくらむ,やまのあなたも,おなしうきよを
たましひも,わかみにそはぬ,なけきして,なみたひさしき,よにそふりにし
なにとかく,おきところなく,なけくらむ,ありはつましき,つゆのいのちを
かすならて,あるにもあらぬ,うきみしも,なとよのなかに,おきところなき
ふりはつる,おいのねさめの,なみたにそ,みをしるそては,ぬれまさりける
あれはいとふ,そむけはしたふ,かすならぬ,みとこころとの,なかそゆかしき
たのみこし,わかこころにも,すてられて,よにさすらふる,みをいとふかな
かからすは,とまるこころも,ありなまし,うきそこのよの,なさけなりける
みもつらく,よもうらめしき,ふしふしを,わすれぬものは,なみたなりけり
うきもうく,つらきもつらし,しかはあれと,しらぬになして,よをすくすかな
しひてたか,ととめおきける,わかみとて,なほすてやらぬ,よをなけくらむ
あられける,みをうたかひし,やすらひに,なにしかおそく,よをのかれけむ
よしさらは,あるにまかせむ,あらましの,はしめにはみな,かはりゆくみを
あつまにて,みはふりぬとも,ことのはを,いかてくもゐに,きこえあけまし
あすとたに,またれぬほとの,おいのみは,いのちのうちの,あらましもなし
いかにせむ,そむきてのちの,うきよをは,すてなはとおもふ,なくさめもなし
あはれけに,のかれてもよは,うかりけり,いのちなからそ,すつへかりける
たらちねの,おいのよはひに,うまれあひて,ひさしくそはぬ,みをそうらむる
なにとかく,そむくこころの,ふかからむ,このよにこそは,うまれたるみの
いたつらに,やすきわかみそ,はつかしき,くるしむたみの,こころおもへは
もくつにも,ひかりやそはむ,わかのうらや,かひあるけふの,たまにましりて
わかのうらに,しつむみくつよ,みかかれむ,たまのひかりを,みるよしもかな
おろかなる,みをはしれとも,よよへぬる,あとをそたのむ,しきしまのみち
たまつしま,あはれとみすや,わかかたに,ふきたえぬへき,わかのうらかせ
とにかくに,きみかよをのみ,いのるかな,のりのためにも,かみのためにも
これのみそ,ひとのくにより,つたはらて,かみよをうけし,しきしまのみち
すみよしの,まつのおもはむ,ことのはを,わかみにはつる,しきしまのみち
よしあしは,わかぬみなれと,よにすめは,なにはのことも,みてそひさしき
わひつつも,このみはかりは,いかかせむ,めくらむよよを,おもふかなしさ
うらむとも,なけくともよの,おほえぬに,なみたなれぬる,そてのうへかな
こころから,こころにものを,おもはせて,みをくるしむる,わかみなりけり
きみたにも,みやこなりせは,おもふこと,まつかたらひて,なくさみなまし
よのなかを,おもふもくるし,おもはしと,おもふもみには,おもひなりけり
いかにせむ,いかにとすへき,よのなかを,そむけはかなし,すめはうらめし
よのなかに,うきみはなくて,をしとおもふ,ひとのいのちを,ととめましかは
つくつくと,あかしくらして,としつきを,つひにはいかか,かそへなすへき
たれとかは,わきてもいはむ,わかために,うらめしからぬ,ひとしなけれは
いかてわれ,すましとそおもふ,すむからに,うきことしけき,このよなりけり
いつかたに,いかかそむかむ,そむくとも,よにはよならぬ,ところありせは
つゆはかり,おもひおくへき,こころあらは,きえぬさきにそ,ひとはとはまし
なからへは,さりともとおもふ,こころこそ,うきにつけつつ,よわりはてぬれ
なほかくて,ありへむことは,うきよりも,よそのひとめの,はつかしきかな
うきなから,いくはるあきを,すくしきぬ,つきとはなとを,おもひいてにして
そむきても,なほいとはしき,よのなかを,すてぬはまして,さそなけくらむ
いまそしる,わかみのみにて,あるときに,ひともひととは,おもふなりけり
なけくとも,いふともかひは,あらしよを,ゆめのことくに,おもひなしてむ
をしからぬ,いのちなれとも,こころにし,まかせられねは,うきよにそふる
みのうさに,いととうきたる,うきくさの,ねなくはひとに,みせしとそおもふ
なくさむる,かたもなきさの,はまちとり,なにかうきよに,あともととめむ
おのつから,うきみわするる,あらましに,ありなくさめて,よをやすくさむ
こころひく,かたはかりにて,なへてよの,ひとになさけの,あるひとそなき
あはれてふ,ひとはなきさの,さよちとり,うきよにわひて,ねをのみそなく
しつむみの,たななしをふね,いかなれは,おなしえにたに,かへらさるらむ
みつまさる,はやせのふねも,わかことや,のほりもやらぬ,よをうれふらむ
いかにせむ,こえゆくなみの,したにのみ,しつみはてぬる,あまのすてふね
