けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
あはれにも,ともにふしみの,さとにきて,かたらひあかす,ほとときすかな
ともにきく,ひとこそかはれ,ほとときす,ことしもこその,こゑになくなり
きくたひに,あはれとそおもふ,ほとときす,われにかたらふ,こゑならねとも
ほとときす,くものいつくそ,むらさめの,はれゆくあとの,よはのひとこゑ
つきのこる,ねさめのそらの,ほとときす,さらにおきいてて,なこりをそきく
さつきまつ,はなのかをりに,そてしめて,くもはれぬひの,ゆふくれのあめ
あつまやの,のきはにねさせ,あやめくさ,うゑぬしのふも,おひすやはあらぬ
けふといへは,あやめはかりそ,ふきそふる,のきはふりぬる,よもきふのやと
たにふかき,いはねのあやめ,きみかため,なかきためしを,ひきいてつるかな
あやめふく,かやかのきはに,かせすきて,しとろにおつる,むらさめのつゆ
しつかふく,あやめのすゑを,たよりにて,すみかならふる,のきのささかに
あやめふく,のきはすすしき,ゆふかせに,やまほとときす,ちかくなくなり
みかきなす,たまえのなみの,ますかかみ,けふよりかけや,うつしそめけむ
くれぬとて,ちまちのさなへ,とりとりに,いそくもしるき,たこのもろこゑ
さひしとは,たれかいひけむ,やまさとを,みせはやたこの,さなへとるころ
をやまたに,みゆるみとりの,ひとむらや,またとりわけぬ,さなへなるらむ
とききぬと,おりたつたこの,てもたゆく,とるやさなへも,いまいそくなり
ふりそむる,そかのかはらの,さみたれに,またみつあさし,ますけからなむ
さみたれは,はれぬとみゆる,くもまより,やまのいろこき,ゆふくれのそら
さみたれは,いさらをかはを,たよりにて,そとものをたを,みをになしぬる
さなへとる,しつかをやまた,ふもとまて,くももおりたつ,さみたれのころ
さみたれは,はれむとやする,やまのはに,かかれるくもの,うすくなりゆく
なにはえや,あまのたくなは,ほしわひて,けふりもしめる,さみたれのころ
やまさとの,ゆきにはあとも,いとはれす,とへかしひとの,さみたれのころ
にはのおもも,くもにへたたる,しはかきの,しはしひまあれ,さみたれのそら
さみたれに,うききなかれて,おほゐかは,くたすいかたの,かすそそひぬる
そまひとの,とらぬまきさへ,なかるなり,にふのかはらの,さみたれのころ
こまとめて,かけみるみつや,にこるらむ,ひのくまかはの,さみたれのころ
さみたれに,みつしまされは,おとはかは,せきいれぬやとも,おつるたきつせ
みやこひと,こともやとふと,まつのかと,くもとちはつる,さみたれのそら
いたつらに,くもゐるやまの,まつのはの,ときそともなき,さみたれのそら
はれやらぬ,くもよりかけは,もらねとも,つきよはしるし,さみたれのそら
さみたれの,はれぬるよはの,ほとときす,つきとともにや,やまをいてけむ
さみたれの,くもまののきの,ほとときす,あめにかはりて,こゑのおちくる
さみたれの,つきのほのかに,みゆるよは,ほとときすたに,さやかにをなけ
