いかにねて,おくるあしたに,いふことそ,きのふをこそと,けふをことしと
いととしく,なくさめかたき,ゆふくれに,あきとおほゆる,かせそふくなる
さらてたに,あやしきほとの,ゆふくれに,をきふくかせの,おとそきこゆる
をきのはに,ふきすきてゆく,あきかせの,またたかさとを,おとろかすらむ
さりともと,おもひしひとは,おともせて,をきのうははに,かせそふくなる
をきのはに,ひとたのめなる,かせのおとを,わかみにしめて,あかしつるかな
をきのかせも,ややふきそむる,こゑすなり,あはれあきこそ,ふかくなるらし
あけぬるか,かはせのきりの,たえまより,をちかたひとの,そてのみゆるは
さためなき,かせのふかすは,はなすすき,こころとなひく,かたはみてまし
さらてたに,こころのとまる,あきののに,いとともまねく,はなすすきかな
ことしより,うゑはしめつる,わかやとの,はなはいつれの,あきかみさらむ
みつのいろに,はなのにほひを,けふそへて,ちとせのあきの,ためしとそみる
わかやとに,あきののへをは,うつせりと,はなみにゆかむ,ひとにつけはや
あさゆふに,おもふこころは,つゆなれや,かからぬはなの,うへしなけれは
わかやとに,ちくさのはなを,うゑつれは,しかのねのみや,のへにのこらむ
わかやとに,はなをのこさす,うつしうゑて,しかのねきかぬ,のへとなしつる
さひしさに,やとをたちいてて,なかむれは,いつくもおなし,あきのゆふくれ
なにしかは,ひともきてみむ,いととしく,ものおもひまさる,あきのやまさと
からころも,なかきよすから,うつこゑに,われさへねても,あかしつるかな
さよふけて,ころもしてうつ,こゑきけは,いそかぬひとも,ねられさりけり
うたたねに,よやふけぬらむ,からころも,うつこゑたかく,なりまさるなり
すかのねの,なかなかしといふ,あきのよは,つきみぬひとの,いふにそありける
つきはよし,はけしきかせの,おとさへそ,みにしむはかり,あきはかなしき
やまさとの,しつのまつかき,ひまをあらみ,いたくなふきそ,こからしのかせ
みわたせは,もみちしにけり,やまさとに,ねたくそけふは,ひとりきにける
いかなれは,おなししくれに,もみちする,ははそのもりの,うすくこからむ
ひをへつつ,ふかくなりゆく,もみちはの,いろにそあきの,ほとはしりぬる
このころは,ききのこすゑに,もみちして,しかこそはなけ,あきのやまさと
ふるさとは,またとほけれと,もみちはの,いろにこころの,とまりぬるかな
いかなれは,ふなきのやまの,もみちはの,あきはすくれと,こかれさるらむ
うゑおきし,あるしはなくて,きくのはな,おのれひとりそ,つゆけかりける
つらからむ,かたこそあらめ,きみならて,たれにかみせむ,しらきくのはな
めもかれす,みつつくらさむ,しらきくの,はなよりのちの,はなしなけれは
むらさきに,やしほそめたる,きくのはな,うつろふいろと,たれかいひけむ
あさまたき,やへさくきくの,ここのへに,みゆるはしもの,おけはなりけり
きくにたに,こころはうつる,はなのいろを,みにゆくひとは,かへりしもせし
うすくこく,いろそみえける,きくのはな,つゆやこころを,わきておくらむ
かりにこむ,ひとにをらるな,きくのはな,うつろひはてむ,すゑまてもみむ
しらきくの,うつろひゆくそ,あはれなる,かくしつつこそ,ひともかれしか
うゑおきし,ひとのこころは,しらきくの,はなよりさきに,うつろひにけり
われのみや,かかるとおもへは,ふるさとの,まかきにきくも,うつろひにけり
むらさきに,うつろひにしを,おくしもの,なほしらきくと,みするなりけり
やまさとの,もみちみにとや,おもふらむ,ちりはててこそ,とふへかりけれ
からにしき,いろみえまかふ,もみちはの,ちるこのもとは,たちうかりけり
もみちちる,ころなりけりな,やまさとの,ことそともなく,そてのぬるるは
もみちはの,あめとふるなる,このまより,あやなくつきの,かけそもりくる
もみちちる,あきのやまへは,しらかしの,したはかりこそ,みちはみえけれ
みなかみに,もみちなかれて,おほゐかは,むらこにみゆる,たきのしらいと
みつもなく,みえこそわたれ,おほゐかは,きしのもみちは,あめとふれとも
あらしふく,みむろのやまの,もみちはは,たつたのかはの,にしきなりけり
みしよりも,あれそしにける,いそのかみ,あきはしくれの,ふりまさりつつ
あきのよは,やまたのいほに,いなつまの,ひかりのみこそ,もりあかしけれ
やとちかき,やまたのひたに,てもかけて,ふくあきかせに,まかせてそみる
あきのたに,なみよるいねは,やまかはの,みつひきうゑし,さなへなりけり
ゆふひさす,すそののすすき,かたよりに,まねくやあきを,おくるなるらむ
あすよりは,いととしくれや,ふりそはむ,くれゆくあきを,をしむたもとに
あけはては,のへをまつみむ,はなすすき,まねくけしきは,あきにかはらし
