いかにねて,おくるあしたに,いふことそ,きのふをこそと,けふをことしと
みやこへと,いきのまつはら,ゆきかへり,きみかちとせに,あはむとすらむ
そのかみの,ひとはのこらし,はこさきの,まつはかりこそ,われをしるらめ
こつかみの,うらにとしへて,よるなみも,おなしところに,かへるなりけり
おいのなみ,よせしとひとは,いとふとも,まつらむものを,わかのうらには
うちむれし,こまもおとせぬ,あきののは,くさかれゆけと,みるひともなし
にほひきや,みやこのはなは,あつまちの,こちのかへしの,かせにつけしは
ふきかへす,こちのかへしは,みにしみき,みやこのはなの,しるへとおもふに
とりわきて,わかみにつゆや,おきつらむ,はなよりさきに,まつそうつろふ
やすらはて,おもひたちにし,あつまちに,ありけるものか,ははかりのせき
みちのくの,あたちのまゆみ,きみにこそ,おもひためたる,ことはかたらめ
みやこには,たれをかきみは,おもひいつる,みやこのひとは,きみをこふめり
わすられぬ,ひとのなかには,わすれぬを,まつらむひとの,なかにまつやは
ありてやは,おとせさるへき,つのくにの,いまそいくたの,もりといひしは
きのふまて,かみにこころを,かけしかと,けふこそのりに,あふひなりけれ
かへるさを,まちこころみよ,かくなから,よもたたにては,やましなのさと
ふかきうみの,ちかひはしらす,みかさやま,こころたかくも,みえしきみかな
こもまくら,かりのたひねに,あかさはや,いりえのあしの,ひとよはかりを
ひもくれぬ,ひともかへりぬ,やまさとは,みねのあらしの,おとはかりして
みやこひと,くるれはかへる,いまよりは,ふしみのさとの,なをもたのまし
すきもすき,やともむかしの,やとなから,かはるはひとの,こころなりけり
おもひきや,ふるさとひとに,みをなして,はなのたよりに,やまをみむとは
たえにける,はつかなるねを,くりかへし,かつらのをこそ,きかまほしけれ
いつかまた,こちくなるへき,うくひすの,さへつりそめし,よはのふえたけ
をしかふす,しけみにはへる,くすのはの,うらさひしけに,みゆるやまさと
つねならぬ,やまのさくらに,こころいりて,いけのはちすを,いひなはなちそ
もちなから,ちよもめくらむ,さかつきの,きよきひかりは,さしもかけなむ
ななへやへ,はなはさけとも,やまふきの,みのひとつたに,なきそあやしき
かつきする,あまのありかを,そこなりと,ゆめいふなとや,めをくはせけむ
たらちねは,はかなくてこそ,やみにしか,こはいつことて,たちとまるらむ
おもへとも,いかにならひし,みちなれは,しらぬさかひに,まとふなるらむ
あさちふに,あれにけれとも,ふるさとの,まつはこたかく,なりにけるかな
いにしへの,まゆとしめにも,あらねとも,きみはみまくさ,とりてかふとか
さかつきに,さやけきかけの,みえぬれは,ちりのおそりは,あらしとをしれ
おほちちち,うまこすけちか,みよまてに,いたたきまつる,すめらおほむかみ
ものおもへは,さはのほたるを,わかみより,あくかれにける,たまかとそみる
おくやまに,たきりておつる,たきつせに,たまちるはかり,ものなおもひそ
しろたへの,とよみてくらを,とりもちて,いはひそそむる,むらさきののに
いまよりは,あらふるこころ,ましますな,はなのみやこに,やしろさためつ
いなりやま,みつのたまかき,うちたたき,わかねきことを,かみもこたへよ
すみよしの,まつさへかはる,ものならは,なにかむかしの,しるしならまし
ちはやふる,まつのをやまの,かけみれは,けふそちとせの,はしめなりける
あきらけき,ひよしのみかみ,きみかため,やまのかひある,よろつよやへむ
ちはやふる,かみのそのなる,ひめこまつ,よろつよふへき,はしめなりけり
さかきはに,ふるしらゆきは,きえぬめり,かみのこころは,いまやとくらむ
うとはまに,あまのはころも,むかしきて,ふりけむそてや,けふのはふりこ
あめのした,はくくむかみの,みそなれは,ゆたけにそたつ,みつのひろまへ
ここにしも,わきていてけむ,いはしみつ,かみのこころを,くみてしらはや
すみよしの,まつのしつえに,かみさひて,みとりにみゆる,あけのたまかき
さもこそは,やとはかはらめ,すみよしの,まつさへすきに,なりにけるかな
おもふこと,なるかはかみに,あとたれて,きふねはひとを,わたすなりけり
けふまつる,みかさのやまの,かみませは,あめのしたには,きみそさかえむ
いにしへの,わかれのにはに,あへりとも,けふのなみたそ,なみたならまし
つねよりも,けふのかすみそ,あはれなる,たききつきにし,けふりとおもへは
いかなれは,こよひのつきの,さよなかに,てらしもはてて,いりしなるらむ
よをてらす,つきかくれにし,さよなかは,あはれやみにや,みなまとひけむ
やまのはに,いりにしよはの,つきなれと,なこりはまたに,さやけかりけり
つもるらむ,ちりをもいかて,はらはまし,のりにあふきの,かせのうれしさ
やへきくに,はちすのつゆを,おきそへて,ここのしなまて,うつろはしつる
さきかたき,みのりのはなに,おくつゆや,やかてころもの,たまとなるらむ
もろともに,みつのくるまに,のりしかと,われはいちみの,あめにぬれにき
つきのわに,こころをかけし,ゆふへより,よろつのことを,ゆめとみるかな
かせふけは,まつやふれぬる,くさのはに,よそふるからに,そてそつゆけき
つねならぬ,わかみはみつの,つきなれは,よにすみとけむ,こともおもはす
ちるはなを,をしまはとまれ,よのなかは,こころのほかの,ものとやはきく
こしらへて,かりのやとりに,やすめすは,まことのみちを,いかてしらまし
みちとほみ,なかそらにてや,かへらまし,おもへはかりの,やとそうれしき
ころもなる,たまともかけて,しらさりき,ゑひさめてこそ,うれしかりけれ
わしのやま,へたつるくもや,ふかからむ,つねにすむなる,つきをみぬかな
よをすくふ,うちにはたれか,いらさらむ,あまねきかとは,ひとしささねは
つのくにの,なにはのことか,のりならぬ,あそひたはふれ,まてとこそきけ
ふえのねの,はるおもしろく,きこゆるは,はなちりたりと,ふけはなりけり
たけくまの,まつはふたきを,みきといふは,よくよめるには,あらぬなるへし
さかさらは,さくらをひとの,をらましや,さくらのあたは,さくらなりけり
またちらぬ,はなもやあると,たつねみむ,あなかましはし,かせにしらすな
もものはな,やとにたてれは,あるしさへ,すけるものとや,ひとのみるらむ
みかのよの,もちひはくはし,わつらはし,きけはよとのに,ははこつむなり
おもふこと,みなつきねとて,あさのはを,きりにきりても,はらへつるかな
きみかかす,よるのころもを,たなはたは,かへしやしつる,ひるくさしとて
もみちはは,にしきとみゆと,ききしかと,めもあやにこそ,けふはちりぬれ
おちつもる,にはをたにとて,みるものを,うたてあらしの,はきにはくかな
こころさし,おほはらやまの,すみならは,おもひをそへて,おこすはかりそ
くもゐにて,いかてあふきと,おもひしに,てかくはかりも,なりにけるかな
はかなくも,わすられにける,あふきかな,おちたりけりと,ひともこそみれ
さならても,ねられぬものを,いととしく,つきおとろかす,かねのおとかな
わすれても,あるへきものを,このころの,つきよよいたく,ひとなすかせそ
みちしはや,おとろのかみに,ならされて,うつれるかこそ,くさまくらなれ
まけかたの,はつかしけなる,あさかほを,かかみくさにも,みせてけるかな
おもひいつる,こともあらしと,みえつれと,やといふにこそ,おとろかれぬれ
しらなみの,たちなからたに,なかとなる,とよらのさとの,とよられよかし
はかなくも,おもひけるかな,ちもなくて,はかせのいへの,めのとせむとは
さもあらはあれ,やまとこころし,かしこくは,ほそちにつけて,あらすはかりそ
うめかえに,ふりつむゆきは,としことに,ふたたひさける,はなとこそおもへ
なにはかた,みきはのあしの,おいのよに,うらみてそふる,ひとのこころを
けふりとも,くもともならぬ,みなれとも,くさはのつゆを,それとなかめよ
ゆきふかき,こしのしらやま,われなれや,たかをしふるに,はるをしるらむ
こころあてに,をりしもあらは,つたへなむ,さかてつゆけき,さくらありきと
けふとまた,のちとわすれし,しろたへの,うのはなさける,やととみつれは
いかたおろす,そまやまひとを,とひつれは,このくれをこそ,よしといひつれ
はなれても,かひこそなけれ,あをうまの,とりつなかれし,わかみとおもへは
いにしへの,ためしをきけは,やちよまて,いのちをのへの,こまつなりけり
むらむらに,こほりのこれる,いけみつに,ところところの,はるやたつらむ
やまさとの,かひもあるかな,ほとときす,ことしそまたて,はつねききつる
